,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,row_idx,orientador_filiação,avaliador1_filiação,avaliador2_filiação,orientador_nome,orientador_país,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador4_filiação,avaliador1_keyword_5,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/423606?guid=1652140357980&returnUrl=%2fresultado%2flistar%3fguid%3d1652140357980%26quantidadePaginas%3d1%26codigoRegistro%3d423606%23423606&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0002-9554-1381,orcid.org/0000-0001-9772-263X,,,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,10,no info,State University of Campinas,Universidade Estadual de Campinas,Neucimar Leite,no info,Ricardo Machado Leite de Barros,Brazil,Biomecânica,Cinesiologia,Educação Física Desportiva,Biomecânica do Movimento Humano Aplicada aos Esportes,,,,,,,,,,,,,data science,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/430423?guid=1652140427764&returnUrl=%2fresultado%2flistar%3fguid%3d1652140427764%26quantidadePaginas%3d1%26codigoRegistro%3d430423%23430423&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0001-5944-8246,orcid.org/0000-0001-9772-263X,,,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,11,Universidade Estadual de Campinas Instituto de Computação,no info,Universidade Estadual de Campinas,Claudia Medeiros,Brazil,Ricardo Ciferri,no info,,,,,Scientific data management, Data interoperability, Open Science,,,,,,,,,,data science,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/426741?guid=1652140592815&returnUrl=%2fresultado%2flistar%3fguid%3d1652140592815%26quantidadePaginas%3d1%26codigoRegistro%3d426741%23426741&i=1,orcid.org/0000-0002-4830-5298,sem orcid,sem orcid,,,sem orcid,sem orcid,,,,,12,Universidade Estadual de Campinas,sem orcid,sem orcid,Maria Cecilia Calani Baranauskas,Brazil,sem orcid,sem orcid,,,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/431264?guid=1652140645846&returnUrl=%2fresultado%2flistar%3fguid%3d1652140645846%26quantidadePaginas%3d1%26codigoRegistro%3d431264%23431264&i=1,orcid.org/0000-0001-8309-6367,sem orcid,orcid.org/0000-0001-8923-0432,,,Tomasz Kowaltowski,no info,,,,,13,Universidade Estadual de Campinas,sem orcid,no info,Ariadne Carvalho,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/434042?guid=1652140684537&returnUrl=%2fresultado%2flistar%3fguid%3d1652140684537%26quantidadePaginas%3d1%26codigoRegistro%3d434042%23434042&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0001-8309-6367,sem orcid,,,sem orcid,sem orcid,,,,,14,no info,Universidade Estadual de Campinas,sem orcid,Jacques Wainer,Brazil,Ariadne Carvalho,no info,,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/434057?guid=1652140712558&returnUrl=%2fresultado%2flistar%3fguid%3d1652140712558%26quantidadePaginas%3d1%26codigoRegistro%3d434057%23434057&i=1,sem orcid,sem orcid,orcid.org/0000-0001-7878-4990,,,Joao Meidanis,no info,,,,,15,sem orcid,sem orcid,State University of Campinas,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/445476?guid=1652140741177&returnUrl=%2fresultado%2flistar%3fguid%3d1652140741177%26quantidadePaginas%3d1%26codigoRegistro%3d445476%23445476&i=1,orcid.org/0000-0002-9539-6874,sem orcid,orcid.org/0000-0002-8803-0401,,,Rodolfo Azevedo,Brazil,,,,,16,Universidade Estadual de Campinas,sem orcid,UNICAMP,Sandro Rigo,Brazil,sem orcid,sem orcid,,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/434428?guid=1652140797517&returnUrl=%2fresultado%2flistar%3fguid%3d1652140797517%26quantidadePaginas%3d1%26codigoRegistro%3d434428%23434428&i=1,sem orcid,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-0236-0689,,,Eduardo Camponogara,no info,,,,,17,sem orcid,University of Campinas,Universidade Federal de Santa Catarina,sem orcid,sem orcid,Zanoni Dias,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/434549?guid=1652140865321&returnUrl=%2fresultado%2flistar%3fguid%3d1652140865321%26quantidadePaginas%3d1%26codigoRegistro%3d434549%23434549&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-1347-186X,orcid.org/0000-0003-0683-7672,,,Anamaria Gomide,no info,,,,,18,Universidade Estadual de Campinas,no info,no info,Maria Cecilia Calani Baranauskas,Brazil,Jose Armando Valente,no info,,,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444561?guid=1652140909260&returnUrl=%2fresultado%2flistar%3fguid%3d1652140909260%26quantidadePaginas%3d1%26codigoRegistro%3d444561%23444561&i=4,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0002-1067-6421,,,Flávio K. Miyazawa,no info,,,,,19,no info,sem orcid,no info,Jacques Wainer,Brazil,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/445002?guid=1652140945148&returnUrl=%2fresultado%2flistar%3fguid%3d1652140945148%26quantidadePaginas%3d1%26codigoRegistro%3d445002%23445002&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-7309-4528,orcid.org/0000-0002-3159-4839,,,Jorge Stolfi,no info,,,,,20,no info,Universidade de São Paulo,State University of Campinas,Siome Goldenstein,no info,Anna H Reali Costa,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444596?guid=1652140977591&returnUrl=%2fresultado%2flistar%3fguid%3d1652140977591%26quantidadePaginas%3d1%26codigoRegistro%3d444596%23444596&i=1,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-9384-8347,sem orcid,,,sem orcid,sem orcid,,,,,21,Universidade Estadual de Campinas,Universidade Federal de Santa Catarina,sem orcid,Sandro Rigo,Brazil,Luiz C. V. dos Santos,Brazil,,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/448998?guid=1652141105665&returnUrl=%2fresultado%2flistar%3fguid%3d1652141105665%26quantidadePaginas%3d1%26codigoRegistro%3d448998%23448998&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-7789-3359,orcid.org/0000-0002-8856-194X,,,Ricardo Anido,Brazil,,,,,22,Universidade Estadual de Campinas,Universidade Federal do Rio de Janeiro,University of Campinas,Nelson L. S. da Fonseca,no info,Luís Henrique M. K. Costa,no info,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/445488?guid=1652141140205&returnUrl=%2fresultado%2flistar%3fguid%3d1652141140205%26quantidadePaginas%3d1%26codigoRegistro%3d445488%23445488&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0001-5015-2131,,,Neucimar Leite,no info,,,,,23,Universidade Estadual de Campinas,sem orcid,no info,Alexandre Falcao,Brazil,sem orcid,sem orcid,,,,,image processing, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/777586?guid=1652141223027&returnUrl=%2fresultado%2flistar%3fguid%3d1652141223027%26quantidadePaginas%3d1%26codigoRegistro%3d777586%23777586&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-6731-1482,,,Julio Cesar Lopez Hernandez,Mexico,,,,,24,University of Campinas,sem orcid,no info,Ricardo Dahab,Brazil,sem orcid,sem orcid,,,,,Cryptography, Graph Theory,,,,,,,,,,,,,,,,,,,
25,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/423615?guid=1652141366077&returnUrl=%2fresultado%2flistar%3fguid%3d1652141366077%26quantidadePaginas%3d1%26codigoRegistro%3d423615%23423615&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0003-4929-7258,orcid.org/0000-0001-9336-9568,orcid.org/0000-0002-5652-0852,Agma Traina,no info,,,,,25,Universidade Estadual de Campinas,sem orcid,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Alexandre Falcao,Brazil,sem orcid,sem orcid,,,,,image processing, visualization, and analysis, (interactive) machine learning ,,Roberto Lotufo,no info,"Cendes, Fernando",no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,Epilepsy, Neuroimaging, Neuroscience,,,,,
26,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/426748?guid=1652141415940&returnUrl=%2fresultado%2flistar%3fguid%3d1652141415940%26quantidadePaginas%3d1%26codigoRegistro%3d426748%23426748&i=2,sem orcid,orcid.org/0000-0003-3233-0314,sem orcid,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-0683-7672,sem orcid,sem orcid,,,,,26,sem orcid,Federal University of São Carlos,sem orcid,sem orcid,sem orcid,Joice Lee Otsuka,Brazil,educational game,accessibility,inclusive design,serious game,,,,,,Anamaria Gomide,no info,Rodolfo Azevedo,Brazil,UNICAMP,no info,,,,,,,,,,
27,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/434044?guid=1652141510349&returnUrl=%2fresultado%2flistar%3fguid%3d1652141510349%26quantidadePaginas%3d1%26codigoRegistro%3d434044%23434044&i=1,orcid.org/0000-0002-5945-0845,orcid.org/0000-0001-6627-7692,orcid.org/0000-0001-8175-8320,sem orcid,orcid.org/0000-0002-1067-6421,Laura Bahiense,no info,,,,,27,Universidade Estadual de Campinas,Universidade Federal do Rio de Janeiro,Federal University of Rio de Janeiro,Cid de Souza,Brazil,Abilio Lucena,Brazil,,,,,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,Flávio K. Miyazawa,no info,sem orcid,sem orcid,sem orcid,no info,,,,,,,,,,
28,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/440984?guid=1652141552839&returnUrl=%2fresultado%2flistar%3fguid%3d1652141552839%26quantidadePaginas%3d1%26codigoRegistro%3d440984%23440984&i=1,sem orcid,orcid.org/0000-0002-8007-9817,orcid.org/0000-0001-9625-5259,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-6023-5982,Itana Gimenes,Brazil,,,,,28,sem orcid,PUC-Rio,Universidade Estadual de Maringá,sem orcid,sem orcid,Markus Endler,Brazil,,,,,,,,,,Islene Calciolari Garcia,no info,Edmundo Madeira,no info,UNICAMP - University of Campinas,University of Campinas,,,,,,,,,,
29,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/436920?guid=1652141612271&returnUrl=%2fresultado%2flistar%3fguid%3d1652141612271%26quantidadePaginas%3d1%26codigoRegistro%3d436920%23436920&i=1,orcid.org/0000-0002-7002-875X,sem orcid,sem orcid,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-2046-602X,sem orcid,sem orcid,,,,,29,University of Campinas,sem orcid,sem orcid,Ricardo Dahab,Brazil,sem orcid,sem orcid,,,,,Cryptography, Graph Theory,,,,Nelson L. S. da Fonseca,no info,Julio Cesar Lopez Hernandez,Mexico,no info,Universidade Estadual de Campinas,,,,,,,,,,
30,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/437596?guid=1652141664867&returnUrl=%2fresultado%2flistar%3fguid%3d1652141664867%26quantidadePaginas%3d1%26codigoRegistro%3d437596%23437596&i=1,orcid.org/0000-0001-5201-1244,sem orcid,sem orcid,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-1067-6421,sem orcid,sem orcid,,,,,30,no info,sem orcid,sem orcid,Jacques Wainer,Brazil,sem orcid,sem orcid,,,,,,,,,,Flávio K. Miyazawa,no info,Claudia Medeiros,Brazil,Universidade Estadual de Campinas Instituto de Computação,no info,,,Scientific data management, Data interoperability, Open Science,,,,,
31,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/438287?guid=1652141715831&returnUrl=%2fresultado%2flistar%3fguid%3d1652141715831%26quantidadePaginas%3d1%26codigoRegistro%3d438287%23438287&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-3861-7260,sem orcid,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-5201-1244,sem orcid,sem orcid,,,,,31,Universidade Estadual de Campinas,Universidade de São Paulo,sem orcid,Alexandre Falcao,Brazil,Roberto Hirata Jr.,Brazil,,,,,image processing, visualization, and analysis, (interactive) machine learning ,,Jacques Wainer,Brazil,Helio Pedrini,Brazil,University of Campinas,no info,,,image and video processing; machine learning; computer vision,,,,,,,
32,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/444356?guid=1652141762049&returnUrl=%2fresultado%2flistar%3fguid%3d1652141762049%26quantidadePaginas%3d1%26codigoRegistro%3d444356%23444356&i=1,orcid.org/0000-0002-1180-2637,sem orcid,sem orcid,orcid.org/0000-0002-8856-194X,orcid.org/0000-0002-6023-5982,sem orcid,sem orcid,,,,,32,UNICAMP - University of Campinas,sem orcid,sem orcid,Edmundo Madeira,no info,sem orcid,sem orcid,,,,,,,,,,Islene Calciolari Garcia,no info,Ricardo Anido,Brazil,University of Campinas,University of Campinas,,,,,,,,,,
33,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/434357?guid=1652141814622&returnUrl=%2fresultado%2flistar%3fguid%3d1652141814622%26quantidadePaginas%3d1%26codigoRegistro%3d434357%23434357&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-9384-8347,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-8803-0401,Luiz C. V. dos Santos,Brazil,,,,,33,Universidade Estadual de Campinas,sem orcid,Universidade Federal de Santa Catarina,Guido Araujo,no info,sem orcid,sem orcid,,,,,,,,,,Rodolfo Azevedo,Brazil,Sandro Rigo,Brazil,Universidade Estadual de Campinas,UNICAMP,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,,,
34,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/444309?guid=1652141858107&returnUrl=%2fresultado%2flistar%3fguid%3d1652141858107%26quantidadePaginas%3d1%26codigoRegistro%3d444309%23444309&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-3888-7340,sem orcid,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-6023-5982,sem orcid,sem orcid,,,,,34,UNICAMP - University of Campinas,University of São Paulo,sem orcid,Edmundo Madeira,no info,Fabio Kon,Brazil,Smart Cities, Software Development, Open Source, Agile Development,,,,,,Islene Calciolari Garcia,no info,Claudia Medeiros,Brazil,Universidade Estadual de Campinas Instituto de Computação,University of Campinas, Middleware,,Scientific data management, Data interoperability, Open Science,,,,,
35,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/436932?guid=1652141911171&returnUrl=%2fresultado%2flistar%3fguid%3d1652141911171%26quantidadePaginas%3d1%26codigoRegistro%3d436932%23436932&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0002-5250-1785,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-9539-6874,Antonio A. F. Loureiro,no info,,,,,35,Universidade Estadual de Campinas Instituto de Computação,sem orcid,Universidade Federal de Minas Gerais,Claudia Medeiros,Brazil,sem orcid,sem orcid,,,,,Scientific data management, Data interoperability, Open Science,,,Sandro Rigo,Brazil,Edmundo Madeira,no info,UNICAMP - University of Campinas,Universidade Estadual de Campinas,,,,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing
