,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador2_filiação,row_idx,orientador_filiação,avaliador1_filiação,orientador_nome,orientador_país,avaliador2_nome,avaliador2_país,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_1,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_keyword_6,avaliador1_keyword_7,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador3_filiação,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1090650?guid=1652810266839&returnUrl=%2fresultado%2flistar%3fguid%3d1652810266839%26quantidadePaginas%3d1%26codigoRegistro%3d1090650%231090650&i=2,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-2582-1695,orcid.org/0000-0003-0467-3133,,,Universidade Estadual de Campinas,10,University of Campinas,Federal University of São Carlos,Helio Pedrini,Brazil,Esther Luna Colombini,no info,Ricardo Cerri,no info,,,,,,image and video processing; machine learning; computer vision,Machine Learning,Bioinformatics,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1091949?guid=1652810371000&returnUrl=%2fresultado%2flistar%3fguid%3d1652810371000%26quantidadePaginas%3d1%26codigoRegistro%3d1091949%231091949&i=2,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-5227-7165,sem orcid,,,sem orcid,11,University of Campinas,Universidade de São Paulo,Ricardo Dahab,Brazil,sem orcid,sem orcid,Marcos Simplicio,Brazil,,,,,,Cryptography,,,,,,,,,,,,,, Graph Theory,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1091333?guid=1652810459431&returnUrl=%2fresultado%2flistar%3fguid%3d1652810459431%26quantidadePaginas%3d1%26codigoRegistro%3d1091333%231091333&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-8588-8197,orcid.org/0000-0002-6731-1482,,,no info,12,Universidade Estadual de Campinas,Universidade Estadual de Maringá,Edson Borin,no info,Julio Cesar Lopez Hernandez,Mexico,SILVA A F,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1091134?guid=1652810506573&returnUrl=%2fresultado%2flistar%3fguid%3d1652810506573%26quantidadePaginas%3d1%26codigoRegistro%3d1091134%231091134&i=5,orcid.org/0000-0001-9772-263X,orcid.org/0000-0001-5265-8988,sem orcid,,,sem orcid,13,Universidade Estadual de Campinas,UNESP,Ricardo Torres,Netherlands,sem orcid,sem orcid,Patrícia Morellato,no info,,,,,,multimedia retrieval,phenology, plant-animal interactions, climate change,,,,,,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1091235?guid=1652810571583&returnUrl=%2fresultado%2flistar%3fguid%3d1652810571583%26quantidadePaginas%3d1%26codigoRegistro%3d1091235%231091235&i=1,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0002-0512-506X,,,no info,14,University of Campinas,sem orcid,Helio Pedrini,Brazil,Alexandre Ferreira,no info,sem orcid,sem orcid,,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1091589?guid=1652810639818&returnUrl=%2fresultado%2flistar%3fguid%3d1652810639818%26quantidadePaginas%3d1%26codigoRegistro%3d1091589%231091589&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0003-3441-0887,orcid.org/0000-0001-9152-0658,,,no info,15,Universidade Estadual de Campinas,Centro de Tecnologia da Informação Renato Archer,Maria Cecilia Calani Baranauskas,Brazil,Ricardo Caceffo,no info,Rodrigo Bonacin,no info,,,,,,HCI,,,,,,,,,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1092935?guid=1652810669822&returnUrl=%2fresultado%2flistar%3fguid%3d1652810669822%26quantidadePaginas%3d1%26codigoRegistro%3d1092935%231092935&i=9,orcid.org/0000-0002-4236-8212,sem orcid,sem orcid,,,sem orcid,16,Universidade Estadual de Campinas,sem orcid,Anderson Rocha,Brazil,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1093511?guid=1652810746539&returnUrl=%2fresultado%2flistar%3fguid%3d1652810746539%26quantidadePaginas%3d1%26codigoRegistro%3d1093511%231093511&i=1,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-0689-2703,orcid.org/0000-0003-2944-4476,,,no info,17,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Esther Luna Colombini,no info,Marcos Maximo,no info,Eric Rohmer,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1093509?guid=1652810772235&returnUrl=%2fresultado%2flistar%3fguid%3d1652810772235%26quantidadePaginas%3d1%26codigoRegistro%3d1093509%231093509&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0001-5295-3514,orcid.org/0000-0002-9545-2098,,,Universidade Estadual de Campinas (UNICAMP),18,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,Julio Cesar Dos Reis,no info,Luiz Camolesi Júnior,no info,,,,,,multimedia retrieval,,,,,,,,,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1092725?guid=1652810833664&returnUrl=%2fresultado%2flistar%3fguid%3d1652810833664%26quantidadePaginas%3d1%26codigoRegistro%3d1092725%231092725&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9539-6874,orcid.org/0000-0003-3738-6448,,,Universidade de São Paulo,19,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Guido Araujo,no info,Bruno Albertini,no info,Sandro Rigo,Brazil,,,,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1096114?guid=1652810879477&returnUrl=%2fresultado%2flistar%3fguid%3d1652810879477%26quantidadePaginas%3d1%26codigoRegistro%3d1096114%231096114&i=7,orcid.org/0000-0002-5945-0845,sem orcid,orcid.org/0000-0002-8972-080X,,,State University of Campinas,20,Universidade Estadual de Campinas,sem orcid,Cid de Souza,Brazil,Fábio Usberti,no info,sem orcid,sem orcid,,,,,,Integer Programming,,,,,,,,,,,,,,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1101352?guid=1652811001457&returnUrl=%2fresultado%2flistar%3fguid%3d1652811001457%26quantidadePaginas%3d1%26codigoRegistro%3d1101352%231101352&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0002-9529-4253,orcid.org/0000-0003-2059-9463,,,Universidade de São Paulo,21,Universidade Estadual de Campinas,University of Campinas,Alexandre Falcao,Brazil,Moacir Ponti,no info,Pedro J. de Rezende,no info,,,,,,image processing,,,,,,,,,,,,,, visualization, and analysis, (interactive) machine learning ,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1121198?guid=1652811034762&returnUrl=%2fresultado%2flistar%3fguid%3d1652811034762%26quantidadePaginas%3d1%26codigoRegistro%3d1121198%231121198&i=1,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-3734-7679,orcid.org/0000-0002-5945-0845,,,Universidade Estadual de Campinas,22,State University of Campinas,Universidade Federal de Itajubá,Fábio Usberti,no info,Cid de Souza,Brazil,Pedro Hokama,no info,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1095127?guid=1652811085233&returnUrl=%2fresultado%2flistar%3fguid%3d1652811085233%26quantidadePaginas%3d1%26codigoRegistro%3d1095127%231095127&i=1,orcid.org/0000-0001-9068-938X,orcid.org/0000-0002-5652-0852,orcid.org/0000-0002-8889-1586,,,University of Sheffield,23,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Sandra Avila,no info,Jefersson A. dos Santos,no info,Roberto Lotufo,no info,Pattern Recognition, Image Processing, Content-Based Image Retrieval, Remote Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1097137?guid=1652811136333&returnUrl=%2fresultado%2flistar%3fguid%3d1652811136333%26quantidadePaginas%3d1%26codigoRegistro%3d1097137%231097137&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-6137-874X,orcid.org/0000-0001-9152-0658,,,no info,24,Universidade Estadual de Campinas,Universidad del Quindío,Maria Cecilia Calani Baranauskas,Brazil,Ricardo Caceffo,no info,JULIAN GUTIERREZ POSADA,Colombia,,,,,,HCI,,,,,,,,,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1095898?guid=1652811185296&returnUrl=%2fresultado%2flistar%3fguid%3d1652811185296%26quantidadePaginas%3d1%26codigoRegistro%3d1095898%231095898&i=1,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-4237-4281,orcid.org/0000-0003-1381-4794,,,University of Sao Paulo,25,University of Campinas,University of Campinas,Orlando Lee,no info,Maycon Sambinelli,no info,C. N. Campos,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1127232?guid=1652811215905&returnUrl=%2fresultado%2flistar%3fguid%3d1652811215905%26quantidadePaginas%3d1%26codigoRegistro%3d1127232%231127232&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0001-9756-378X,orcid.org/0000-0002-1180-2637,,,UNICAMP - University of Campinas,26,Universidade Estadual de Campinas,Federal University of Bahia,Nelson L. S. da Fonseca,no info,Edmundo Madeira,no info,"Figueiredo, G.B.",no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1095870?guid=1652811258853&returnUrl=%2fresultado%2flistar%3fguid%3d1652811258853%26quantidadePaginas%3d1%26codigoRegistro%3d1095870%231095870&i=10,orcid.org/0000-0003-4869-5190,orcid.org/0000-0003-1140-4513,orcid.org/0000-0002-5652-0852,,,Universidade Estadual de Campinas,27,Universidade Estadual de Campinas,no info,Guido Araujo,no info,Roberto Lotufo,no info,Marcio M. Pereira,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1095682?guid=1652811330295&returnUrl=%2fresultado%2flistar%3fguid%3d1652811330295%26quantidadePaginas%3d1%26codigoRegistro%3d1095682%231095682&i=3,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-0472-4810,sem orcid,,,sem orcid,28,University of Campinas,Universidade Estadual de Campinas,Zanoni Dias,Brazil,sem orcid,sem orcid,Rafael C. S. Schouery,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1096946?guid=1652811360593&returnUrl=%2fresultado%2flistar%3fguid%3d1652811360593%26quantidadePaginas%3d1%26codigoRegistro%3d1096946%231096946&i=2,orcid.org/0000-0002-5564-698X,orcid.org/0000-0003-4869-5190,sem orcid,,,sem orcid,29,University of Campinas,Universidade Estadual de Campinas,Lucas Wanner,no info,sem orcid,sem orcid,Guido Araujo,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157337?guid=1652811412322&returnUrl=%2fresultado%2flistar%3fguid%3d1652811412322%26quantidadePaginas%3d1%26codigoRegistro%3d1157337%231157337&i=2,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-5591-3750,orcid.org/0000-0002-9539-6874,,,Universidade Estadual de Campinas,30,University of Campinas,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Juliana Freitag Borin,Brazil,Sandro Rigo,Brazil,Jo Ueyama,no info,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,Internet of Things,,,,,,,,,,,,,, Smart Cities, Computer network protocols,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1126239?guid=1652811497203&returnUrl=%2fresultado%2flistar%3fguid%3d1652811497203%26quantidadePaginas%3d1%26codigoRegistro%3d1126239%231126239&i=1,orcid.org/0000-0003-0467-3133,orcid.org/0000-0003-4929-7258,orcid.org/0000-0001-9068-938X,,,Universidade Estadual de Campinas,31,Universidade Estadual de Campinas,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Esther Luna Colombini,no info,Sandra Avila,no info,Agma Traina,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128708?guid=1652811512190&returnUrl=%2fresultado%2flistar%3fguid%3d1652811512190%26quantidadePaginas%3d1%26codigoRegistro%3d1128708%231128708&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0002-6804-1453,orcid.org/0000-0002-7603-9695,,,Universidade Estadual de Campinas,32,no info,Instituto Tecnológico de Aeronáutica,Eliane Martins,no info,Leonardo Montecchi,Norway,Emilia Villani,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1097684?guid=1652811558719&returnUrl=%2fresultado%2flistar%3fguid%3d1652811558719%26quantidadePaginas%3d1%26codigoRegistro%3d1097684%231097684&i=2,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0467-3133,orcid.org/0000-0003-2277-4632,,,no info,33,University of Campinas,Universidade Estadual de Campinas,Helio Pedrini,Brazil,Rodrigo Minetto,no info,Esther Luna Colombini,no info,,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,
34,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1126948?guid=1652811575596&returnUrl=%2fresultado%2flistar%3fguid%3d1652811575596%26quantidadePaginas%3d1%26codigoRegistro%3d1126948%231126948&i=2,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-5270-4427,orcid.org/0000-0003-1140-4513,,,no info,34,Universidade Estadual de Campinas,no info,Guido Araujo,no info,Marcio M. Pereira,Brazil,Fabio Gozzo,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1081374?guid=1652811631162&returnUrl=%2fresultado%2flistar%3fguid%3d1652811631162%26quantidadePaginas%3d1%26codigoRegistro%3d1081374%231081374&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-5227-7165,sem orcid,orcid.org/0000-0002-6731-1482,orcid.org/0000-0002-5564-698X,sem orcid,35,Universidade Estadual de Campinas,Universidade de São Paulo,Guido Araujo,no info,sem orcid,sem orcid,Marcos Simplicio,Brazil,,,,,,,,,,,,,,University of Campinas,Julio Cesar Lopez Hernandez,Mexico,Lucas Wanner,no info,no info,,,,,,,,,,,
36,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1082432?guid=1652811679276&returnUrl=%2fresultado%2flistar%3fguid%3d1652811679276%26quantidadePaginas%3d1%26codigoRegistro%3d1082432%231082432&i=3,orcid.org/0000-0001-6305-9059,sem orcid,orcid.org/0000-0003-0524-3274,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-3109-4305,Univesity of Sao Paulo,36,Universidade Estadual de Campinas,sem orcid,Luiz Fernando Bittencourt,no info,Julio Cezar Estrella,Brazil,sem orcid,sem orcid,Distributed Systems, Cloud Computing, Internet of Things,,,,,,,,,,,Universidade Estadual de Campinas (UNICAMP),Edmundo Madeira,no info,Christian Esteve Rothenberg,no info,UNICAMP - University of Campinas,,,,,,,,,,,
37,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1089611?guid=1652811753656&returnUrl=%2fresultado%2flistar%3fguid%3d1652811753656%26quantidadePaginas%3d1%26codigoRegistro%3d1089611%231089611&i=1,orcid.org/0000-0003-0125-630X,sem orcid,sem orcid,orcid.org/0000-0002-1941-6036,orcid.org/0000-0002-1756-4852,sem orcid,37,University of Campinas,sem orcid,Helio Pedrini,Brazil,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,image and video processing; machine learning; computer vision,,,,,,,,Universidade Estadual de Campinas,Marco Antonio Garcia de Carvalho,Brazil,André Santanchè,no info,Universidade Estadual de Campinas,,,,,,,image segmentation,graphs,image processing,digital education,pattern recognition
38,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1092459?guid=1652811785404&returnUrl=%2fresultado%2flistar%3fguid%3d1652811785404%26quantidadePaginas%3d1%26codigoRegistro%3d1092459%231092459&i=2,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0003-2430-2030,orcid.org/0000-0002-0512-506X,orcid.org/0000-0002-8972-080X,Universidade Federal do Paraná,38,Universidade Estadual de Campinas,sem orcid,Ricardo Torres,Netherlands,David Menotti,no info,sem orcid,sem orcid,,,,,,multimedia retrieval,,,,,,,,State University of Campinas,Alexandre Ferreira,no info,Fábio Usberti,no info,no info,multimedia classification,machine learning,information visualization,data science,,,,,,,
39,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1093195?guid=1652811858779&returnUrl=%2fresultado%2flistar%3fguid%3d1652811858779%26quantidadePaginas%3d1%26codigoRegistro%3d1093195%231093195&i=11,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-5591-3750,orcid.org/0000-0002-8007-9817,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-6305-9059,PUC-Rio,39,Universidade Estadual de Campinas,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Edson Borin,no info,Markus Endler,Brazil,Jo Ueyama,no info,,,,,,,,,,,,,,Universidade Estadual de Campinas,Edmundo Madeira,no info,Luiz Fernando Bittencourt,no info,UNICAMP - University of Campinas,,,,,,,,,,,
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1127094?guid=1652811920746&returnUrl=%2fresultado%2flistar%3fguid%3d1652811920746%26quantidadePaginas%3d1%26codigoRegistro%3d1127094%231127094&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-1180-2637,sem orcid,sem orcid,,sem orcid,40,Universidade Estadual de Campinas,UNICAMP - University of Campinas,Nelson L. S. da Fonseca,no info,sem orcid,sem orcid,Edmundo Madeira,no info,,,,,,,,,,,,,,,sem orcid,sem orcid,,,sem orcid,,,,,,,,,,,
41,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1093544?guid=1652811956822&returnUrl=%2fresultado%2flistar%3fguid%3d1652811956822%26quantidadePaginas%3d1%26codigoRegistro%3d1093544%231093544&i=1,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-7941-6281,sem orcid,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-7603-9695,sem orcid,41,Universidade Estadual de Campinas (UNICAMP),Universidade Federal de Santa Catarina,Julio Cesar Dos Reis,no info,sem orcid,sem orcid,Renato Fileto,no info,,,,,,,,,,,,,,Universidade Estadual de Campinas,André Santanchè,no info,Leonardo Montecchi,Norway,Universidade Estadual de Campinas,,,,,,,,,,,
42,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1095922?guid=1652811991124&returnUrl=%2fresultado%2flistar%3fguid%3d1652811991124%26quantidadePaginas%3d1%26codigoRegistro%3d1095922%231095922&i=4,orcid.org/0000-0003-1908-4753,sem orcid,sem orcid,orcid.org/0000-0002-9545-2098,orcid.org/0000-0001-8309-6367,sem orcid,42,Universidade Estadual de Campinas Instituto de Computação,sem orcid,Claudia Medeiros,Brazil,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,Scientific data management,,,,,,,,Universidade Estadual de Campinas,Julio Cesar Dos Reis,no info,Ariadne Carvalho,no info,Universidade Estadual de Campinas (UNICAMP), Data interoperability, Open Science,,,,,,,,,
