,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,orientador_nome,orientador_país,avaliador1_filiação,orientador_keyword_1,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador3_filiação,avaliador4_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador1_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/961353?guid=1652469681753&returnUrl=%2fresultado%2flistar%3fguid%3d1652469681753%26quantidadePaginas%3d1%26codigoRegistro%3d961353%23961353&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-4549-7105,sem orcid,,,no info,24,sem orcid,Cecilia Mary Fischer Rubira Rubira,no info,sem orcid,sem orcid,,Eliane Martins,no info,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/900666?guid=1652469743390&returnUrl=%2fresultado%2flistar%3fguid%3d1652469743390%26quantidadePaginas%3d1%26codigoRegistro%3d900666%23900666&i=1,orcid.org/0000-0003-4869-5190,sem orcid,sem orcid,,,Universidade Estadual de Campinas,25,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,Guido Araujo,no info,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/902330?guid=1652469792501&returnUrl=%2fresultado%2flistar%3fguid%3d1652469792501%26quantidadePaginas%3d1%26codigoRegistro%3d902330%23902330&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-8309-6367,sem orcid,,,no info,26,sem orcid,Ariadne Carvalho,no info,sem orcid,sem orcid,,Cecilia Mary Fischer Rubira Rubira,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/895751?guid=1652469857087&returnUrl=%2fresultado%2flistar%3fguid%3d1652469857087%26quantidadePaginas%3d1%26codigoRegistro%3d895751%23895751&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-5455-8910,orcid.org/0000-0003-2046-602X,,,UNICAMP - University of Campinas,27,Universidade Estadual de Campinas,Fabio Verdi,Brazil,Nelson L. S. da Fonseca,no info,,Edmundo Madeira,no info,Federal University of São Carlos,,Computer Networks, SDN, Cloud computing, monitoring,,,,,,,,,,,,,,, management, virtualizatoin,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/906029?guid=1652469965872&returnUrl=%2fresultado%2flistar%3fguid%3d1652469965872%26quantidadePaginas%3d1%26codigoRegistro%3d906029%23906029&i=2,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-0678-4777,orcid.org/0000-0002-6540-8686,,,no info,28,University of Campinas,Regina Moraes,Brazil,Paulo de Geus,Brazil,Computer Security,Eliane Martins,no info,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/905263?guid=1652470020595&returnUrl=%2fresultado%2flistar%3fguid%3d1652470020595%26quantidadePaginas%3d1%26codigoRegistro%3d905263%23905263&i=1,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0003-4869-5190,,,UNICAMP,29,Universidade Estadual de Campinas,sem orcid,sem orcid,Guido Araujo,no info,,Rodolfo Azevedo,Brazil,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/904579?guid=1652470061760&returnUrl=%2fresultado%2flistar%3fguid%3d1652470061760%26quantidadePaginas%3d1%26codigoRegistro%3d904579%23904579&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,no info,30,no info,sem orcid,sem orcid,Eliane Martins,no info,,Cecilia Mary Fischer Rubira Rubira,no info,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/908148?guid=1652470113178&returnUrl=%2fresultado%2flistar%3fguid%3d1652470113178%26quantidadePaginas%3d1%26codigoRegistro%3d908148%23908148&i=11,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0002-9539-6874,,,UNICAMP,31,Universidade Estadual de Campinas,sem orcid,sem orcid,Sandro Rigo,Brazil,Computer Architecture,Rodolfo Azevedo,Brazil,sem orcid,,,,,,Compilers,Code Optimization,High-Performance Computing,,,,,,,,,,,,,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/901703?guid=1652470188424&returnUrl=%2fresultado%2flistar%3fguid%3d1652470188424%26quantidadePaginas%3d1%26codigoRegistro%3d901703%23901703&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-2608-4807,,,University of Campinas,32,Universidade Estadual de Campinas,Maria Emilia Walter,Brazil,Guilherme P. Telles,Brazil,,Zanoni Dias,Brazil,University of Brasilia,,bioinformatics, non-coding RNAs, genomics, transcriptomics,,,,,,,,,,,,,,, genome rearrangements,,,,,,,,,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/901716?guid=1652470224644&returnUrl=%2fresultado%2flistar%3fguid%3d1652470224644%26quantidadePaginas%3d1%26codigoRegistro%3d901716%23901716&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0001-7878-4990,,,University of Campinas,33,State University of Campinas,Maria Emilia Walter,Brazil,Joao Meidanis,no info,,Zanoni Dias,Brazil,University of Brasilia,,bioinformatics, non-coding RNAs, genomics, transcriptomics,,,,,,,,,,,,,,, genome rearrangements,,,,,,,,,,,,,
34,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/855551?guid=1652470287191&returnUrl=%2fresultado%2flistar%3fguid%3d1652470287191%26quantidadePaginas%3d1%26codigoRegistro%3d855551%23855551&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-9174-2816,orcid.org/0000-0001-5615-1746,orcid.org/0000-0001-7878-4990,orcid.org/0000-0003-2608-4807,University of Campinas,34,Universidade Federal de Mato Grosso do Sul,Joao C. Setubal,no info,Nalvo F Almeida,Brazil,,Zanoni Dias,Brazil,Universidade de Sao Paulo,,Bioinformatics, Genomics, Metagenomics, Microbiomes,,,,,,,,,State University of Campinas,Universidade Estadual de Campinas,Guilherme P. Telles,Brazil,Joao Meidanis,no info, Transcriptomics, Computational Biology,,,,,,,,,,,,
35,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/854836?guid=1652470373494&returnUrl=%2fresultado%2flistar%3fguid%3d1652470373494%26quantidadePaginas%3d1%26codigoRegistro%3d854836%23854836&i=1,orcid.org/0000-0002-3159-4839,sem orcid,orcid.org/0000-0001-6574-341X,sem orcid,sem orcid,State University of Campinas,35,no info,sem orcid,sem orcid,Arnaldo  De Albuquerque Araujo ,no info,,Jorge Stolfi,no info,sem orcid,,,,,,,,,,,,,,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,
36,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/854855?guid=1652470417801&returnUrl=%2fresultado%2flistar%3fguid%3d1652470417801%26quantidadePaginas%3d1%26codigoRegistro%3d854855%23854855&i=1,sem orcid,orcid.org/0000-0002-6393-0876,orcid.org/0000-0001-9924-0079,orcid.org/0000-0002-3159-4839,orcid.org/0000-0003-4462-3325,sem orcid,36,no info,Celina Miraglia Herrera de Figueiredo,Brazil,Fabio Protti,no info,,sem orcid,sem orcid,no info,,,,,,,,,,,,,,State University of Campinas,University of Campinas,Orlando Lee,no info,Jorge Stolfi,no info,,,,,,,,,,,,,,
37,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/873219?guid=1652470478971&returnUrl=%2fresultado%2flistar%3fguid%3d1652470478971%26quantidadePaginas%3d1%26codigoRegistro%3d873219%23873219&i=1,orcid.org/0000-0002-3159-4839,sem orcid,orcid.org/0000-0003-1574-0362,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0683-7672,State University of Campinas,37,Instituto Tecnológico de Aeronáutica,sem orcid,sem orcid,Cesar Marcondes,Brazil,,Jorge Stolfi,no info,sem orcid,,,,,,,,,,,,,,University of Campinas,no info,Anamaria Gomide,no info,Helio Pedrini,Brazil,,,,,,,,,,image and video processing; machine learning; computer vision,,,,
38,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/869220?guid=1652470505370&returnUrl=%2fresultado%2flistar%3fguid%3d1652470505370%26quantidadePaginas%3d1%26codigoRegistro%3d869220%23869220&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2430-2030,orcid.org/0000-0001-8318-1780,orcid.org/0000-0002-1941-6036,orcid.org/0000-0002-1756-4852,Universidade Estadual de Campinas,38,no info,David Menotti,no info,Jose F Rodrigues Jr,Brazil,information visualization,Ricardo Torres,Netherlands,Universidade Federal do Paraná,multimedia retrieval,,,,,visualization,infovis,databases,data mining,multimedia classification,machine learning,information visualization,data science,Universidade Estadual de Campinas,Universidade Estadual de Campinas,André Santanchè,no info,Marco Antonio Garcia de Carvalho,Brazil,,,data analysis,graph mining,graph analysis,,,,,image segmentation,graphs,image processing,digital education,pattern recognition
39,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/866787?guid=1652470564649&returnUrl=%2fresultado%2flistar%3fguid%3d1652470564649%26quantidadePaginas%3d1%26codigoRegistro%3d866787%23866787&i=1,sem orcid,orcid.org/0000-0003-0683-7672,sem orcid,orcid.org/0000-0002-6560-6965,sem orcid,sem orcid,39,sem orcid,Anamaria Gomide,no info,sem orcid,sem orcid,,sem orcid,sem orcid,no info,,,,,,,,,,,,,,Instituto Eldorado,sem orcid,sem orcid,sem orcid,Eduardo Hideki Tanaka,Brazil,,,,,,,,,,,,,,
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/877154?guid=1652470640870&returnUrl=%2fresultado%2flistar%3fguid%3d1652470640870%26quantidadePaginas%3d1%26codigoRegistro%3d877154%23877154&i=1,orcid.org/0000-0003-4549-7105,sem orcid,sem orcid,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-4832-9318,no info,40,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,Cecilia Mary Fischer Rubira Rubira,no info,sem orcid,,,,,,,,,,,,,,no info,Universidade Estadual de Campinas,Ivan Luiz Marques Ricarte,Brazil,Eliane Martins,no info,,,,,,,,,,,,,,
41,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/896594?guid=1652475291332&returnUrl=%2fresultado%2flistar%3fguid%3d1652475291332%26quantidadePaginas%3d1%26codigoRegistro%3d896594%23896594&i=1,orcid.org/0000-0002-7002-875X,sem orcid,sem orcid,orcid.org/0000-0001-9241-2229,orcid.org/0000-0002-9539-6874,University of Campinas,41,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,Ricardo Dahab,Brazil,sem orcid,Cryptography,,,,,,,,, Graph Theory,,,,University of Campinas,Universidade Estadual de Campinas,Sandro Rigo,Brazil,Marco A. Amaral Henriques,no info,,,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,,,,
42,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/905271?guid=1652475538310&returnUrl=%2fresultado%2flistar%3fguid%3d1652475538310%26quantidadePaginas%3d1%26codigoRegistro%3d905271%23905271&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-4534-1250,orcid.org/0000-0002-9539-6874,orcid.org/0000-0003-3888-7340,orcid.org/0000-0002-3823-8941,Universidade Estadual de Campinas,42,Universidade Estadual de Campinas,Nicolas Maillard,no info,Sandro Rigo,Brazil,Computer Architecture,Guido Araujo,no info,no info,,,,,,Compilers,Code Optimization,High-Performance Computing,,,,,,University of São Paulo,University of Campinas,Luiz Eduardo Buzato,Brazil,Fabio Kon,Brazil,,,,,,distributed systems,distributed algorithms,fault tolerance,,Smart Cities, Software Development, Open Source, Agile Development, Middleware
