,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,row_idx,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_filiação,orientador_nome,orientador_país,orientador_filiação,avaliador2_filiação,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador4_filiação,avaliador6_filiação,avaliador5_filiação,avaliador5_nome,avaliador5_país,avaliador3_filiação,avaliador6_nome,avaliador6_país,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador2_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador2_keyword_9,avaliador2_keyword_10,avaliador2_keyword_11,avaliador2_keyword_12,avaliador2_keyword_13,avaliador1_keyword_5,avaliador1_keyword_6,avaliador1_keyword_7,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador6_keyword_1,avaliador6_keyword_2,avaliador6_keyword_3,avaliador6_keyword_4,avaliador6_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador3_keyword_4
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984498?guid=1652564814030&returnUrl=%2fresultado%2flistar%3fguid%3d1652564814030%26quantidadePaginas%3d1%26codigoRegistro%3d984498%23984498&i=2,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-9539-6874,sem orcid,,,,,sem orcid,sem orcid,,,,,10,Sandro Rigo,Brazil,Computer Architecture,Universidade Estadual de Campinas,Edson Borin,no info,Universidade Estadual de Campinas,sem orcid,Compilers,Code Optimization,High-Performance Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984003?guid=1652564838498&returnUrl=%2fresultado%2flistar%3fguid%3d1652564838498%26quantidadePaginas%3d1%26codigoRegistro%3d984003%23984003&i=2,orcid.org/0000-0002-3891-1593,orcid.org/0000-0001-8309-6367,orcid.org/0000-0002-9666-3954,,,,,Ricardo Gudwin,Brazil,Artificial Intelligence,Cognitive Systems,Intelligent Systems,Cognitive Architectures,11,Ariadne Carvalho,no info,,Universidade Estadual de Campinas,mario cortes,no info,Universidade Estadual de Campinas,State University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983950?guid=1652564872341&returnUrl=%2fresultado%2flistar%3fguid%3d1652564872341%26quantidadePaginas%3d1%26codigoRegistro%3d983950%23983950&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0001-9084-7173,sem orcid,,,,,sem orcid,sem orcid,,,,,12,clarissa yasuda,Brazil,,University of Campinas,Alexandre Falcao,Brazil,Universidade Estadual de Campinas,sem orcid,,,,image processing, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983951?guid=1652564974422&returnUrl=%2fresultado%2flistar%3fguid%3d1652564974422%26quantidadePaginas%3d1%26codigoRegistro%3d983951%23983951&i=1,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-9209-7764,orcid.org/0000-0001-6305-9059,,,,,Luiz Fernando Bittencourt,no info,,,,,13,Gustavo Maciel Dias Vieira,no info,,no info,Islene Calciolari Garcia,no info,University of Campinas,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984175?guid=1652565020182&returnUrl=%2fresultado%2flistar%3fguid%3d1652565020182%26quantidadePaginas%3d1%26codigoRegistro%3d984175%23984175&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-6494-7514,,,,,João Paulo Papa,no info,machine learning, image processing, computervision, meta-heuristics,14,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,University of Campinas,Alexandre Falcao,Brazil,Universidade Estadual de Campinas,no info,,,,image processing, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/985349?guid=1652565051964&returnUrl=%2fresultado%2flistar%3fguid%3d1652565051964%26quantidadePaginas%3d1%26codigoRegistro%3d985349%23985349&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-7008-4092,orcid.org/0000-0002-9545-2098,,,,,Julio Cesar Dos Reis,no info,,,,,15,Marco Antonio Carvalho Filho,Netherlands,Medical Education,University Medical Center Groningen,André Santanchè,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas (UNICAMP),Veterinary Medical Education,Clinical Reasoning,Professional Identity Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/985165?guid=1652565088067&returnUrl=%2fresultado%2flistar%3fguid%3d1652565088067%26quantidadePaginas%3d1%26codigoRegistro%3d985165%23985165&i=3,orcid.org/0000-0002-3372-3366,sem orcid,orcid.org/0000-0001-6305-9059,,,,,Luiz Fernando Bittencourt,no info,,,,,16,sem orcid,sem orcid,,sem orcid,Leandro Villas,Brazil,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/985371?guid=1652565118943&returnUrl=%2fresultado%2flistar%3fguid%3d1652565118943%26quantidadePaginas%3d1%26codigoRegistro%3d985371%23985371&i=2,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0001-9068-938X,,,,,Sandra Avila,no info,,,,,17,sem orcid,sem orcid,,sem orcid,Claudia Medeiros,Brazil,Universidade Estadual de Campinas Instituto de Computação,Universidade Estadual de Campinas,,,,Scientific data management, Data interoperability, Open Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984613?guid=1652565152516&returnUrl=%2fresultado%2flistar%3fguid%3d1652565152516%26quantidadePaginas%3d1%26codigoRegistro%3d984613%23984613&i=1,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-2162-6523,orcid.org/0000-0002-1180-2637,,,,,Edmundo Madeira,no info,,,,,18,Eduardo Cerqueira,no info,,no info,Luiz Fernando Bittencourt,no info,Universidade Estadual de Campinas,UNICAMP - University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/987602?guid=1652565194596&returnUrl=%2fresultado%2flistar%3fguid%3d1652565194596%26quantidadePaginas%3d1%26codigoRegistro%3d987602%23987602&i=2,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-6305-9059,sem orcid,,,,,sem orcid,sem orcid,,,,,19,Luiz Fernando Bittencourt,no info,,Universidade Estadual de Campinas,Edmundo Madeira,no info,UNICAMP - University of Campinas,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/988228?guid=1652565232693&returnUrl=%2fresultado%2flistar%3fguid%3d1652565232693%26quantidadePaginas%3d1%26codigoRegistro%3d988228%23988228&i=4,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9957-5861,orcid.org/0000-0003-4869-5190,,,,,Guido Araujo,no info,,,,,20,Philippe Navaux,Brazil,,Universidade Federal do Rio Grande do Sul,Rodolfo Azevedo,Brazil,UNICAMP,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/986043?guid=1652565295014&returnUrl=%2fresultado%2flistar%3fguid%3d1652565295014%26quantidadePaginas%3d1%26codigoRegistro%3d986043%23986043&i=1,orcid.org/0000-0001-8309-6367,orcid.org/0000-0002-6044-4012,orcid.org/0000-0002-7603-9695,,,,,Leonardo Montecchi,Norway,,,,,21,Nuno Antunes,Portugal,Security; Dependable Systems; Cloud Security; Software Vulnerabilities,no info,Ariadne Carvalho,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1050562?guid=1652565335997&returnUrl=%2fresultado%2flistar%3fguid%3d1652565335997%26quantidadePaginas%3d1%26codigoRegistro%3d1050562%231050562&i=2,orcid.org/0000-0002-6540-8686,orcid.org/0000-0003-2592-3664,orcid.org/0000-0002-9539-6874,,,,,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,22,Carlos Maziero,Brazil,Operating Systems,Universidade Tecnológica Federal do Paraná,Paulo de Geus,Brazil,University of Campinas,Universidade Estadual de Campinas,Computer Security,Distributed Systems,,Computer Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/985641?guid=1652565370337&returnUrl=%2fresultado%2flistar%3fguid%3d1652565370337%26quantidadePaginas%3d1%26codigoRegistro%3d985641%23985641&i=4,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-4555-5598,orcid.org/0000-0002-8972-080X,,,,,Fábio Usberti,no info,,,,,23,Bernardo Flores,no info,,no info,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,State University of Campinas,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/988452?guid=1652565400540&returnUrl=%2fresultado%2flistar%3fguid%3d1652565400540%26quantidadePaginas%3d1%26codigoRegistro%3d988452%23988452&i=2,orcid.org/0000-0002-0472-4810,orcid.org/0000-0003-2162-6523,orcid.org/0000-0002-8972-080X,,,,,Fábio Usberti,no info,,,,,24,Eduardo Cerqueira,no info,,no info,Rafael C. S. Schouery,no info,Universidade Estadual de Campinas,State University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/988670?guid=1652565422834&returnUrl=%2fresultado%2flistar%3fguid%3d1652565422834%26quantidadePaginas%3d1%26codigoRegistro%3d988670%23988670&i=1,orcid.org/0000-0001-9772-263X,sem orcid,sem orcid,,,,,sem orcid,sem orcid,,,,,25,sem orcid,sem orcid,,sem orcid,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,sem orcid,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1060709?guid=1652565449174&returnUrl=%2fresultado%2flistar%3fguid%3d1652565449174%26quantidadePaginas%3d1%26codigoRegistro%3d1060709%231060709&i=3,orcid.org/0000-0001-5201-1244,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-4861-7061,,,,,Aparecido Nilceu Marana,no info,,,,,26,Sandra Avila,no info,,Universidade Estadual de Campinas,Jacques Wainer,Brazil,no info,Universidade Estadual Paulista Júlio de Mesquita Filho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/989282?guid=1652565476027&returnUrl=%2fresultado%2flistar%3fguid%3d1652565476027%26quantidadePaginas%3d1%26codigoRegistro%3d989282%23989282&i=3,orcid.org/0000-0002-4248-2744,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-2431-8457,,,,,Cristiano  Maciel,Brazil,E-Participation,Citizen Participation,E-Government,E-Democracy,27,Maria Cecilia Calani Baranauskas,Brazil,HCI,Universidade Estadual de Campinas,Heiko Hornung,no info,no info,Sociedade Brasileira de Computação,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,Social Networks,Web 2.0,Communication,Human-Computer Interaction,Social Network Analysis,Information and Communication Technology,Death and Technologies,Gender, race and Technology,,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/988854?guid=1652565511991&returnUrl=%2fresultado%2flistar%3fguid%3d1652565511991%26quantidadePaginas%3d1%26codigoRegistro%3d988854%23988854&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0001-8824-3055,orcid.org/0000-0002-3823-8941,,,,,Luiz Eduardo Buzato,Brazil,distributed systems,distributed algorithms,fault tolerance,,28,Alexandro Baldassin,Brazil,Computer architecture,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",Rodolfo Azevedo,Brazil,UNICAMP,University of Campinas,Parallel Programming,Transactional Memory,Persistent Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/989419?guid=1652565542600&returnUrl=%2fresultado%2flistar%3fguid%3d1652565542600%26quantidadePaginas%3d1%26codigoRegistro%3d989419%23989419&i=1,orcid.org/0000-0003-1001-082X,sem orcid,orcid.org/0000-0002-0472-4810,,,,,Rafael C. S. Schouery,no info,,,,,29,sem orcid,sem orcid,,sem orcid,Lehilton Pedrosa,no info,University of Campinas,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/990899?guid=1652565593218&returnUrl=%2fresultado%2flistar%3fguid%3d1652565593218%26quantidadePaginas%3d1%26codigoRegistro%3d990899%23990899&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0003-1979-7817,orcid.org/0000-0002-8803-0401,,,,,Rodolfo Azevedo,Brazil,,,,,30,Tiago Coimbra,Brazil,Applied mathematics,no info,Edson Borin,no info,Universidade Estadual de Campinas,UNICAMP,Methods of mathematical physics,Exploration seismic methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/990516?guid=1652565677356&returnUrl=%2fresultado%2flistar%3fguid%3d1652565677356%26quantidadePaginas%3d1%26codigoRegistro%3d990516%23990516&i=2,orcid.org/0000-0002-2914-5380,orcid.org/0000-0001-8522-2056,orcid.org/0000-0002-6197-2626,,,,,T. V. Spina,no info,,,,,31,Silvio GUIMARAES,Brazil,,Pontifícia Universidade Católica de Minas Gerais,Alexandre Falcao,Brazil,Universidade Estadual de Campinas,Microsoft Research,,,,image processing, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/989865?guid=1652565713536&returnUrl=%2fresultado%2flistar%3fguid%3d1652565713536%26quantidadePaginas%3d1%26codigoRegistro%3d989865%23989865&i=2,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0003-2608-4807,,,,,Guilherme P. Telles,Brazil,,,,,32,sem orcid,sem orcid,,sem orcid,Helio Pedrini,Brazil,University of Campinas,Universidade Estadual de Campinas,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/993981?guid=1652565740319&returnUrl=%2fresultado%2flistar%3fguid%3d1652565740319%26quantidadePaginas%3d1%26codigoRegistro%3d993981%23993981&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0002-0796-3868,,,,,Fátima Mattiello-Francisco,Brazil,Space engineering, Verification and Validation,  operation concept,,33,sem orcid,sem orcid,,sem orcid,Eliane Martins,no info,no info,Instituto Nacional de Pesquisas Espaciais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/989689?guid=1652565772586&returnUrl=%2fresultado%2flistar%3fguid%3d1652565772586%26quantidadePaginas%3d1%26codigoRegistro%3d989689%23989689&i=1,orcid.org/0000-0002-4248-2744,orcid.org/0000-0002-4830-5298,sem orcid,,,,,sem orcid,sem orcid,,,,,34,Maria Cecilia Calani Baranauskas,Brazil,HCI,Universidade Estadual de Campinas,Heiko Hornung,no info,no info,sem orcid,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/994808?guid=1652565800051&returnUrl=%2fresultado%2flistar%3fguid%3d1652565800051%26quantidadePaginas%3d1%26codigoRegistro%3d994808%23994808&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0002-7603-9695,sem orcid,,,,,sem orcid,sem orcid,,,,,35,Leonardo Montecchi,Norway,,Universidade Estadual de Campinas,Eliane Martins,no info,no info,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/990800?guid=1652565840551&returnUrl=%2fresultado%2flistar%3fguid%3d1652565840551%26quantidadePaginas%3d1%26codigoRegistro%3d990800%23990800&i=2,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-8972-080X,sem orcid,,,,,sem orcid,sem orcid,,,,,36,Fábio Usberti,no info,,State University of Campinas,Juliana Freitag Borin,Brazil,University of Campinas,sem orcid,,,,Internet of Things, Smart Cities, Computer network protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/994197?guid=1652565865887&returnUrl=%2fresultado%2flistar%3fguid%3d1652565865887%26quantidadePaginas%3d1%26codigoRegistro%3d994197%23994197&i=1,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-0472-4810,orcid.org/0000-0001-8881-1657,orcid.org/0000-0002-1953-9132,,,,Roberto Sadao Yokoyama,Brazil,,,,,37,Rafael C. S. Schouery,no info,,Universidade Estadual de Campinas,Leandro Villas,Brazil,Universidade Estadual de Campinas,Federal University of Technology - Paraná (UTFPR),,,,,,,,,,,,,,Universidade Federal de Ouro Preto,,,Daniel L. Guidoni,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/993762?guid=1652566022755&returnUrl=%2fresultado%2flistar%3fguid%3d1652566022755%26quantidadePaginas%3d1%26codigoRegistro%3d993762%23993762&i=16,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0003-0467-3133,,,,,Esther Luna Colombini,no info,,,,,38,sem orcid,sem orcid,,sem orcid,Helio Pedrini,Brazil,University of Campinas,Universidade Estadual de Campinas,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
