,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador1_filiação,avaliador2_filiação,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_nome,avaliador2_país,avaliador1_nome,avaliador1_país,orientador_keyword_5,avaliador2_keyword_1,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador4_nome,avaliador4_país,avaliador4_filiação,avaliador3_filiação,avaliador3_nome,avaliador3_país,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_2,avaliador2_keyword_3,avaliador1_keyword_6,avaliador2_keyword_4,avaliador2_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador2_keyword_9,avaliador2_keyword_10,avaliador2_keyword_11,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/959748?guid=1652547274898&returnUrl=%2fresultado%2flistar%3fguid%3d1652547274898%26quantidadePaginas%3d1%26codigoRegistro%3d959748%23959748&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-4177-1322,orcid.org/0000-0002-4248-2744,,,Universidade Estadual de Campinas,10,Embrapa Agricultura Digital,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,Heiko Hornung,no info,Debora Drucker,Brazil,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/959651?guid=1652547361334&returnUrl=%2fresultado%2flistar%3fguid%3d1652547361334%26quantidadePaginas%3d1%26codigoRegistro%3d959651%23959651&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-9722-5764,orcid.org/0000-0003-0125-630X,,,Universidade Estadual de Campinas,11,Universidade de São Paulo,University of Campinas,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,Helio Pedrini,Brazil,Nina S. T. Hirata,no info,,image and video processing; machine learning; computer vision,Machine Learning, Deep learning, Pattern Recognition,,,,,,, Image analysis, Image Processing,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/954851?guid=1652547489985&returnUrl=%2fresultado%2flistar%3fguid%3d1652547489985%26quantidadePaginas%3d1%26codigoRegistro%3d954851%23954851&i=2,orcid.org/0000-0003-4237-4281,sem orcid,orcid.org/0000-0002-8639-3532,,,University of Campinas,12,sem orcid,Federal University of Technology - Paraná,C. N. Campos,Brazil,,,,,Sheila Almeida,Brazil,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/956228?guid=1652547545574&returnUrl=%2fresultado%2flistar%3fguid%3d1652547545574%26quantidadePaginas%3d1%26codigoRegistro%3d956228%23956228&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-2312-7042,orcid.org/0000-0002-6023-5982,,,Universidade Estadual de Campinas,13,Universidade Federal de Santa Catarina,University of Campinas,Edson Borin,no info,,,,,Islene Calciolari Garcia,no info,Mario Dantas,Brazil,,,HPC, Data Intensive Scalable Computing, E-Heath,,,,,,, HCI,Distributed and Parallel Computing,,, IoT,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/955540?guid=1652547593529&returnUrl=%2fresultado%2flistar%3fguid%3d1652547593529%26quantidadePaginas%3d1%26codigoRegistro%3d955540%23955540&i=7,orcid.org/0000-0002-3891-1593,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-5597-613X,,,Universidade Estadual de Campinas,14,Universidade Estadual de Campinas,Federal University of ABC,mario cortes,no info,,,,,Carlos Alberto dos Reis Filho,no info,Guido Araujo,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/954212?guid=1652547649823&returnUrl=%2fresultado%2flistar%3fguid%3d1652547649823%26quantidadePaginas%3d1%26codigoRegistro%3d954212%23954212&i=1,orcid.org/0000-0001-6030-2682,sem orcid,orcid.org/0000-0002-8603-699X,,,University of Campinas,15,sem orcid,University of Campinas,Eduardo C. Xavier,Brazil,,,,,Juliana Freitag Borin,Brazil,sem orcid,sem orcid,,Internet of Things,,,,,,,,,,,, Smart Cities, Computer network protocols,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/953631?guid=1652547712371&returnUrl=%2fresultado%2flistar%3fguid%3d1652547712371%26quantidadePaginas%3d1%26codigoRegistro%3d953631%23953631&i=2,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-4549-7105,orcid.org/0000-0002-7603-9695,,,Universidade Estadual de Campinas Instituto de Computação,16,no info,Universidade Estadual de Campinas,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,Leonardo Montecchi,Norway,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/953626?guid=1652547779538&returnUrl=%2fresultado%2flistar%3fguid%3d1652547779538%26quantidadePaginas%3d1%26codigoRegistro%3d953626%23953626&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-5015-2131,orcid.org/0000-0003-0040-0752,,,University of Campinas,17,no info,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,"Nunes, FLS",Brazil,Neucimar Leite,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/955292?guid=1652547872021&returnUrl=%2fresultado%2flistar%3fguid%3d1652547872021%26quantidadePaginas%3d1%26codigoRegistro%3d955292%23955292&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-5615-1746,orcid.org/0000-0003-2608-4807,,,University of Campinas,18,Universidade Federal de Mato Grosso do Sul,Universidade Estadual de Campinas,Zanoni Dias,Brazil,,,,,Guilherme P. Telles,Brazil,Nalvo F Almeida,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/953639?guid=1652547954403&returnUrl=%2fresultado%2flistar%3fguid%3d1652547954403%26quantidadePaginas%3d1%26codigoRegistro%3d953639%23953639&i=1,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0002-3159-4839,,,University of Campinas,19,sem orcid,State University of Campinas,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,Jorge Stolfi,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/954777?guid=1652548027183&returnUrl=%2fresultado%2flistar%3fguid%3d1652548027183%26quantidadePaginas%3d1%26codigoRegistro%3d954777%23954777&i=1,orcid.org/0000-0003-2608-4807,orcid.org/0000-0001-9772-263X,sem orcid,,,Universidade Estadual de Campinas,20,Universidade Estadual de Campinas,sem orcid,Guilherme P. Telles,Brazil,,,,,sem orcid,sem orcid,Ricardo Torres,Netherlands,,,multimedia retrieval,multimedia classification,machine learning,,,,,,,information visualization,data science,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/953596?guid=1652548098605&returnUrl=%2fresultado%2flistar%3fguid%3d1652548098605%26quantidadePaginas%3d1%26codigoRegistro%3d953596%23953596&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0002-1756-4852,,,Universidade Estadual de Campinas Instituto de Computação,21,sem orcid,Universidade Estadual de Campinas,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,André Santanchè,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/953644?guid=1652548179394&returnUrl=%2fresultado%2flistar%3fguid%3d1652548179394%26quantidadePaginas%3d1%26codigoRegistro%3d953644%23953644&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0001-8309-6367,,,Universidade Estadual de Campinas Instituto de Computação,22,sem orcid,Universidade Estadual de Campinas,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,Ariadne Carvalho,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/954809?guid=1652548272823&returnUrl=%2fresultado%2flistar%3fguid%3d1652548272823%26quantidadePaginas%3d1%26codigoRegistro%3d954809%23954809&i=3,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0001-5015-2131,,,University of Campinas,23,Universidade de São Paulo,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,Neucimar Leite,no info,Moacir Ponti,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/955270?guid=1652548406551&returnUrl=%2fresultado%2flistar%3fguid%3d1652548406551%26quantidadePaginas%3d1%26codigoRegistro%3d955270%23955270&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8229-3385,orcid.org/0000-0002-3152-4523,,,University of Campinas,24,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,University of Campinas,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,Shin-Ting Wu,no info,Afonso Paiva,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/959703?guid=1652548475889&returnUrl=%2fresultado%2flistar%3fguid%3d1652548475889%26quantidadePaginas%3d1%26codigoRegistro%3d959703%23959703&i=4,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-1953-9132,orcid.org/0000-0002-6023-5982,,,Universidade Estadual de Campinas,25,Universidade Federal de Ouro Preto,University of Campinas,Leandro Villas,Brazil,,,,,Islene Calciolari Garcia,no info,Daniel L. Guidoni,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/956223?guid=1652548525927&returnUrl=%2fresultado%2flistar%3fguid%3d1652548525927%26quantidadePaginas%3d1%26codigoRegistro%3d956223%23956223&i=1,orcid.org/0000-0002-3823-8941,orcid.org/0000-0002-6023-5982,orcid.org/0000-0003-2314-5117,,,University of Campinas,26,University of Campinas,no info,Luiz Eduardo Buzato,Brazil,distributed systems,distributed algorithms,fault tolerance,,Alcides Calsavara,no info,Islene Calciolari Garcia,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/954495?guid=1652548585733&returnUrl=%2fresultado%2flistar%3fguid%3d1652548585733%26quantidadePaginas%3d1%26codigoRegistro%3d954495%23954495&i=1,sem orcid,sem orcid,orcid.org/0000-0002-6731-1482,,,sem orcid,27,sem orcid,no info,sem orcid,sem orcid,,,,,Julio Cesar Lopez Hernandez,Mexico,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/967502?guid=1652548624253&returnUrl=%2fresultado%2flistar%3fguid%3d1652548624253%26quantidadePaginas%3d1%26codigoRegistro%3d967502%23967502&i=2,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-3823-8941,orcid.org/0000-0003-1783-4231,sem orcid,,University of Campinas,28,University of Campinas,Universidade Estadual de Campinas,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,Edson Borin,no info,Luiz Eduardo Buzato,Brazil,,,distributed systems,distributed algorithms,fault tolerance,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/960993?guid=1652548675298&returnUrl=%2fresultado%2flistar%3fguid%3d1652548675298%26quantidadePaginas%3d1%26codigoRegistro%3d960993%23960993&i=2,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-5243-0921,orcid.org/0000-0002-4236-8212,,,Universidade Estadual de Campinas,29,no info,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,Anderson Rocha,Brazil,Fernanda Andaló,no info,data science,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/959740?guid=1652548736432&returnUrl=%2fresultado%2flistar%3fguid%3d1652548736432%26quantidadePaginas%3d1%26codigoRegistro%3d959740%23959740&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0001-8515-0582,orcid.org/0000-0002-1180-2637,,,Universidade Estadual de Campinas,30,Universidade Estadual de Campinas,UNICAMP - University of Campinas,Nelson L. S. da Fonseca,no info,,,,,Edmundo Madeira,no info,Helio Waldman,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/959709?guid=1652548838038&returnUrl=%2fresultado%2flistar%3fguid%3d1652548838038%26quantidadePaginas%3d1%26codigoRegistro%3d959709%23959709&i=2,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-5250-1785,orcid.org/0000-0002-8603-699X,,,UNICAMP - University of Campinas,31,Universidade Federal de Minas Gerais,University of Campinas,Edmundo Madeira,no info,,,,,Juliana Freitag Borin,Brazil,Antonio A. F. Loureiro,no info,,Internet of Things,,,,,,,,,,,, Smart Cities, Computer network protocols,,,,,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/959777?guid=1652548947480&returnUrl=%2fresultado%2flistar%3fguid%3d1652548947480%26quantidadePaginas%3d1%26codigoRegistro%3d959777%23959777&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-8972-080X,sem orcid,,,Universidade Estadual de Campinas,32,State University of Campinas,sem orcid,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,sem orcid,sem orcid,Fábio Usberti,no info,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/962103?guid=1652549034295&returnUrl=%2fresultado%2flistar%3fguid%3d1652549034295%26quantidadePaginas%3d1%26codigoRegistro%3d962103%23962103&i=2,orcid.org/0000-0003-2608-4807,orcid.org/0000-0002-0527-1083,orcid.org/0000-0001-5122-5646,,,Universidade Estadual de Campinas,33,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Guilherme P. Telles,Brazil,,,,,Benilton Carvalho,Brazil,Renato Vicentini,Brazil,,Applied Statistics,,,,,,,,,,,,Biostatistics,Bioinformatics,,Computational Biology,Next-Generation Sequencing,RNA-Seq,DNA-Seq,WES-Seq,Gene Expression,Genotyping,Association Studies,,,,,,,,
34,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/959796?guid=1652549067076&returnUrl=%2fresultado%2flistar%3fguid%3d1652549067076%26quantidadePaginas%3d1%26codigoRegistro%3d959796%23959796&i=13,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-2608-4807,,,University of Campinas,34,University of Brasilia,Universidade Estadual de Campinas,Zanoni Dias,Brazil,,,,,Guilherme P. Telles,Brazil,Maria Emilia Walter,Brazil,,,bioinformatics, non-coding RNAs, genomics,,,,,,, transcriptomics, genome rearrangements,,,,,,,,,,,,,,,,,,,
35,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/960941?guid=1652549118499&returnUrl=%2fresultado%2flistar%3fguid%3d1652549118499%26quantidadePaginas%3d1%26codigoRegistro%3d960941%23960941&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0002-7754-4298,orcid.org/0000-0003-4290-6508,,,no info,35,no info,no info,Cecilia Mary Fischer Rubira Rubira,no info,,,,,Eliane Martins,no info,Elisa Yumi Nakagawa,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/962881?guid=1652549149923&returnUrl=%2fresultado%2flistar%3fguid%3d1652549149923%26quantidadePaginas%3d1%26codigoRegistro%3d962881%23962881&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-1399-7535,orcid.org/0000-0001-8309-6367,,,no info,36,Universidade de São Paulo,Universidade Estadual de Campinas,Cecilia Mary Fischer Rubira Rubira,no info,,,,,Ariadne Carvalho,no info,Marco Gerosa,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/965252?guid=1652549194626&returnUrl=%2fresultado%2flistar%3fguid%3d1652549194626%26quantidadePaginas%3d1%26codigoRegistro%3d965252%23965252&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-9671-9313,orcid.org/0000-0001-5122-5646,,,University of Campinas,37,Embrapa Informática Agropecuária,Universidade Estadual de Campinas,Zanoni Dias,Brazil,,,,,Benilton Carvalho,Brazil,Francisco Pereira Lobo,Brazil,,Applied Statistics,computational biology,bioinformatics,comparative genomics,,,,,,,evolution,machine learning,Biostatistics,Bioinformatics,,Computational Biology,Next-Generation Sequencing,RNA-Seq,DNA-Seq,WES-Seq,Gene Expression,Genotyping,Association Studies,,,,,,,,
38,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/961379?guid=1652549239376&returnUrl=%2fresultado%2flistar%3fguid%3d1652549239376%26quantidadePaginas%3d1%26codigoRegistro%3d961379%23961379&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0002-4248-2744,sem orcid,,,no info,38,no info,sem orcid,Cecilia Mary Fischer Rubira Rubira,no info,,,,,sem orcid,sem orcid,Heiko Hornung,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/961142?guid=1652549274299&returnUrl=%2fresultado%2flistar%3fguid%3d1652549274299%26quantidadePaginas%3d1%26codigoRegistro%3d961142%23961142&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0001-5685-8004,sem orcid,,,no info,39,no info,sem orcid,Jacques Wainer,Brazil,,,,,sem orcid,sem orcid,Siome Goldenstein,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/965693?guid=1652549298711&returnUrl=%2fresultado%2flistar%3fguid%3d1652549298711%26quantidadePaginas%3d1%26codigoRegistro%3d965693%23965693&i=4,orcid.org/0000-0001-5201-1244,orcid.org/0000-0001-5396-9868,orcid.org/0000-0002-4236-8212,,,no info,40,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Jacques Wainer,Brazil,,,,,Anderson Rocha,Brazil,Eduardo Valle,Brazil,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/962877?guid=1652549343156&returnUrl=%2fresultado%2flistar%3fguid%3d1652549343156%26quantidadePaginas%3d1%26codigoRegistro%3d962877%23962877&i=4,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0001-6030-2682,,,Universidade Estadual de Campinas,41,sem orcid,University of Campinas,Nelson L. S. da Fonseca,no info,,,,,Eduardo C. Xavier,Brazil,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/964406?guid=1652549376363&returnUrl=%2fresultado%2flistar%3fguid%3d1652549376363%26quantidadePaginas%3d1%26codigoRegistro%3d964406%23964406&i=2,orcid.org/0000-0002-6731-1482,orcid.org/0000-0001-5227-7165,orcid.org/0000-0001-9241-2229,,,no info,42,Universidade de São Paulo,University of Campinas,Julio Cesar Lopez Hernandez,Mexico,,,,,Marco A. Amaral Henriques,no info,Marcos Simplicio,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/945945?guid=1652549417410&returnUrl=%2fresultado%2flistar%3fguid%3d1652549417410%26quantidadePaginas%3d1%26codigoRegistro%3d945945%23945945&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9707-799X,sem orcid,orcid.org/0000-0002-6750-5965,Universidade Estadual de Campinas,43,UNICAMP,Universidade Estadual de Campinas (UNICAMP),Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,José Mario De Martino,no info,Rodolfo Azevedo,Brazil,,,,,,Laura Sánchez García,no info,Pontifícia Universidade Católica do Rio de Janeiro,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,
