,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador2_filiação,row_idx,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,orientador_nome,orientador_país,orientador_keyword_1,avaliador1_filiação,orientador_filiação,avaliador2_nome,avaliador2_país,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_keyword_1,avaliador2_keyword_2,avaliador4_nome,avaliador4_país,avaliador5_nome,avaliador5_país,avaliador5_filiação,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador3_filiação,orientador_keyword_5,avaliador2_keyword_3,avaliador2_keyword_4,avaliador3_keyword_1,avaliador4_keyword_1,avaliador4_keyword_2,avaliador3_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932510?guid=1652485307244&returnUrl=%2fresultado%2flistar%3fguid%3d1652485307244%26quantidadePaginas%3d1%26codigoRegistro%3d932510%23932510&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-5203-4366,,,,no info,10,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,Ricardo Torres,Netherlands,multimedia retrieval,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Luciano da Fontoura Costa,no info,multimedia classification,machine learning,information visualization,,,,,,,,,,,,data science,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932011?guid=1652485445678&returnUrl=%2fresultado%2flistar%3fguid%3d1652485445678%26quantidadePaginas%3d1%26codigoRegistro%3d932011%23932011&i=1,orcid.org/0000-0003-4462-3325,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-4252-3710,,,,no info,11,Eduardo C. Xavier,Brazil,,,,,,Orlando Lee,no info,,University of Campinas,University of Campinas,Jair Donadelli,no info,,,,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/934643?guid=1652485587643&returnUrl=%2fresultado%2flistar%3fguid%3d1652485587643%26quantidadePaginas%3d1%26codigoRegistro%3d934643%23934643&i=1,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-4237-4281,sem orcid,,,,sem orcid,12,C. N. Campos,Brazil,,,,,,Orlando Lee,no info,,University of Campinas,University of Campinas,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932496?guid=1652485736479&returnUrl=%2fresultado%2flistar%3fguid%3d1652485736479%26quantidadePaginas%3d1%26codigoRegistro%3d932496%23932496&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-5378-4732,orcid.org/0000-0003-2046-602X,,,,Universidade Estadual de Campinas,13,Djamel F Hadj Sadok,Brazil,Computer Networks,Communication Systems,Protocols,Security,Cloud Computing,Edmundo Madeira,no info,,Universidade Federal de Pernambuco,UNICAMP - University of Campinas,Nelson L. S. da Fonseca,no info,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932504?guid=1652486053119&returnUrl=%2fresultado%2flistar%3fguid%3d1652486053119%26quantidadePaginas%3d1%26codigoRegistro%3d932504%23932504&i=5,orcid.org/0000-0002-1067-6421,orcid.org/0000-0001-6030-2682,orcid.org/0000-0003-2674-3366,,,,Universidade Federal de Catalão,14,Eduardo C. Xavier,Brazil,,,,,,Flávio K. Miyazawa,no info,,University of Campinas,no info,"Alves de Queiroz, Thiago",Brazil,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/954520?guid=1652486084808&returnUrl=%2fresultado%2flistar%3fguid%3d1652486084808%26quantidadePaginas%3d1%26codigoRegistro%3d954520%23954520&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-5201-1244,orcid.org/0000-0001-5396-9868,,,,Universidade Estadual de Campinas,15,Jacques Wainer,Brazil,,,,,,Siome Goldenstein,no info,,no info,no info,Eduardo Valle,Brazil,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/935838?guid=1652486124522&returnUrl=%2fresultado%2flistar%3fguid%3d1652486124522%26quantidadePaginas%3d1%26codigoRegistro%3d935838%23935838&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-5201-1244,orcid.org/0000-0003-2618-5499,,,,State University of Campinas,16,Jacques Wainer,Brazil,,,,,,Siome Goldenstein,no info,,no info,no info,Renato Lopes,no info,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932081?guid=1652486206506&returnUrl=%2fresultado%2flistar%3fguid%3d1652486206506%26quantidadePaginas%3d1%26codigoRegistro%3d932081%23932081&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-8588-8197,orcid.org/0000-0002-9539-6874,,,,Universidade Estadual de Campinas,17,SILVA A F,Brazil,,,,,,Edson Borin,no info,,Universidade Estadual de Maringá,Universidade Estadual de Campinas,Sandro Rigo,Brazil,,,,Computer Architecture,Compilers,,,,,,,,,,,Code Optimization,High-Performance Computing,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/934630?guid=1652486305817&returnUrl=%2fresultado%2flistar%3fguid%3d1652486305817%26quantidadePaginas%3d1%26codigoRegistro%3d934630%23934630&i=2,orcid.org/0000-0002-5945-0845,orcid.org/0000-0001-5683-693X,orcid.org/0000-0002-8972-080X,,,,State University of Campinas,18,Luiz Henrique de Figueiredo,Brazil,,,,,,Cid de Souza,Brazil,Integer Programming,no info,Universidade Estadual de Campinas,Fábio Usberti,no info,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/935847?guid=1652486368933&returnUrl=%2fresultado%2flistar%3fguid%3d1652486368933%26quantidadePaginas%3d1%26codigoRegistro%3d935847%23935847&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-5103-8541,orcid.org/0000-0003-4290-6508,,,,no info,19,Marco Vieira,Portugal,Dependability, Security, Software Engineering, Web Services, Databases,Cecilia Mary Fischer Rubira Rubira,no info,,University of Coimbra,no info,Eliane Martins,no info,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/935853?guid=1652486445313&returnUrl=%2fresultado%2flistar%3fguid%3d1652486445313%26quantidadePaginas%3d1%26codigoRegistro%3d935853%23935853&i=2,orcid.org/0000-0002-4236-8212,sem orcid,orcid.org/0000-0002-2914-5380,,,,Universidade Estadual de Campinas,20,sem orcid,sem orcid,,,,,,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,sem orcid,Universidade Estadual de Campinas,Alexandre Falcao,Brazil,,,,image processing, visualization,,,,,,,,,,, and analysis, (interactive) machine learning ,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/935835?guid=1652486472821&returnUrl=%2fresultado%2flistar%3fguid%3d1652486472821%26quantidadePaginas%3d1%26codigoRegistro%3d935835%23935835&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-1756-4852,sem orcid,,,,sem orcid,21,André Santanchè,no info,,,,,,Ricardo Torres,Netherlands,multimedia retrieval,Universidade Estadual de Campinas,Universidade Estadual de Campinas,sem orcid,sem orcid,multimedia classification,machine learning,information visualization,,,,,,,,,,,,data science,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/955604?guid=1652486549064&returnUrl=%2fresultado%2flistar%3fguid%3d1652486549064%26quantidadePaginas%3d1%26codigoRegistro%3d955604%23955604&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0040-0752,orcid.org/0000-0001-5015-2131,,,,no info,22,"Nunes, FLS",Brazil,,,,,,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,no info,University of Campinas,Neucimar Leite,no info,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/945092?guid=1652487049882&returnUrl=%2fresultado%2flistar%3fguid%3d1652487049882%26quantidadePaginas%3d1%26codigoRegistro%3d945092%23945092&i=2,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-8105-3627,orcid.org/0000-0003-3333-6822,,,,University of Campinas,23,Carlile Lavor,no info,,,,,,Cid de Souza,Brazil,Integer Programming,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Zanoni Dias,Brazil,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/944925?guid=1652487208971&returnUrl=%2fresultado%2flistar%3fguid%3d1652487208971%26quantidadePaginas%3d1%26codigoRegistro%3d944925%23944925&i=1,orcid.org/0000-0002-9529-4253,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-5259-2859,,,,University of Sao Paulo,24,Fábio Usberti,no info,,,,,,Pedro J. de Rezende,no info,,State University of Campinas,University of Campinas,Cristina G. Fernandes,no info,,,,approximation algorithms,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/947217?guid=1652487312979&returnUrl=%2fresultado%2flistar%3fguid%3d1652487312979%26quantidadePaginas%3d1%26codigoRegistro%3d947217%23947217&i=2,orcid.org/0000-0002-2914-5380,orcid.org/0000-0001-8182-5554,sem orcid,,,,sem orcid,25,Leticia Rittner,no info,,,,,,Alexandre Falcao,Brazil,image processing,University of Campinas,Universidade Estadual de Campinas,sem orcid,sem orcid, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/950521?guid=1652487384752&returnUrl=%2fresultado%2flistar%3fguid%3d1652487384752%26quantidadePaginas%3d1%26codigoRegistro%3d950521%23950521&i=1,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-0125-630X,sem orcid,,,,sem orcid,26,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,,Julio Cesar Lopez Hernandez,Mexico,,University of Campinas,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/946000?guid=1652487509099&returnUrl=%2fresultado%2flistar%3fguid%3d1652487509099%26quantidadePaginas%3d1%26codigoRegistro%3d946000%23946000&i=1,orcid.org/0000-0001-6030-2682,sem orcid,orcid.org/0000-0002-5945-0845,,,,Universidade Estadual de Campinas,27,sem orcid,sem orcid,,,,,,Eduardo C. Xavier,Brazil,,sem orcid,University of Campinas,Cid de Souza,Brazil,,,,Integer Programming,Combinatorial Optimization,,,,,,,,,,,Algorithms (design and analysis),Operations Research,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/945944?guid=1652487673305&returnUrl=%2fresultado%2flistar%3fguid%3d1652487673305%26quantidadePaginas%3d1%26codigoRegistro%3d945944%23945944&i=1,orcid.org/0000-0001-8309-6367,orcid.org/0000-0003-0125-630X,sem orcid,,,,sem orcid,28,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,,Ariadne Carvalho,no info,,University of Campinas,Universidade Estadual de Campinas,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/945171?guid=1652487755655&returnUrl=%2fresultado%2flistar%3fguid%3d1652487755655%26quantidadePaginas%3d1%26codigoRegistro%3d945171%23945171&i=1,orcid.org/0000-0002-5945-0845,orcid.org/0000-0001-6030-2682,sem orcid,,,,sem orcid,29,Eduardo C. Xavier,Brazil,,,,,,Cid de Souza,Brazil,Integer Programming,University of Campinas,Universidade Estadual de Campinas,sem orcid,sem orcid,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/945177?guid=1652487832875&returnUrl=%2fresultado%2flistar%3fguid%3d1652487832875%26quantidadePaginas%3d1%26codigoRegistro%3d945177%23945177&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,,,,UNICAMP - University of Campinas,30,sem orcid,sem orcid,,,,,,Nelson L. S. da Fonseca,no info,,sem orcid,Universidade Estadual de Campinas,Edmundo Madeira,no info,,,,,,,,,,,,,,,,,,,,,,,
31,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/926513?guid=1652488112317&returnUrl=%2fresultado%2flistar%3fguid%3d1652488112317%26quantidadePaginas%3d1%26codigoRegistro%3d926513%23926513&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-7327-848X,sem orcid,orcid.org/0000-0001-6305-9059,orcid.org/0000-0001-8309-6367,,sem orcid,31,Clodoveu Davis,Brazil,Spatial databases,Geographic Information Systems,Spatial Data Infrastructures,Geocoding,Urban Computing,Ricardo Torres,Netherlands,multimedia retrieval,Universidade Federal de Minas Gerais,Universidade Estadual de Campinas,sem orcid,sem orcid,multimedia classification,machine learning,information visualization,,,Ariadne Carvalho,no info,,,,Universidade Estadual de Campinas,Luiz Fernando Bittencourt,no info,Universidade Estadual de Campinas,data science,,,,,,,,
32,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/928475?guid=1652488192998&returnUrl=%2fresultado%2flistar%3fguid%3d1652488192998%26quantidadePaginas%3d1%26codigoRegistro%3d928475%23928475&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-1449-8834,orcid.org/0000-0003-3589-1619,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8182-5554,,Universidade Federal do Rio Grande do Sul,32,William Schwartz,Brazil,Computer Vision,Machine Learning,Smart Surveillance,Biometrics,,Ricardo Torres,Netherlands,multimedia retrieval,Universidade Federal de Minas Gerais,Universidade Estadual de Campinas,Renata Galante,no info,multimedia classification,machine learning,information visualization,,,Leticia Rittner,no info,,,,University of Campinas,Helio Pedrini,Brazil,University of Campinas,data science,,,image and video processing; machine learning; computer vision,,,,,
33,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/959664?guid=1652488287661&returnUrl=%2fresultado%2flistar%3fguid%3d1652488287661%26quantidadePaginas%3d1%26codigoRegistro%3d959664%23959664&i=2,sem orcid,sem orcid,orcid.org/0000-0003-3233-0314,orcid.org/0000-0002-1756-4852,sem orcid,,Federal University of São Carlos,33,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,,sem orcid,sem orcid,Joice Lee Otsuka,Brazil,,,,educational game,accessibility,sem orcid,sem orcid,,,,sem orcid,André Santanchè,no info,Universidade Estadual de Campinas,,inclusive design,serious game,,,,,,
34,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/926520?guid=1652488353307&returnUrl=%2fresultado%2flistar%3fguid%3d1652488353307%26quantidadePaginas%3d1%26codigoRegistro%3d926520%23926520&i=1,orcid.org/0000-0002-8803-0401,sem orcid,sem orcid,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-3891-1593,,sem orcid,34,sem orcid,sem orcid,,,,,,Rodolfo Azevedo,Brazil,,sem orcid,UNICAMP,sem orcid,sem orcid,,,,,,mario cortes,no info,,,,Universidade Estadual de Campinas,Guido Araujo,no info,Universidade Estadual de Campinas,,,,,,,,,
35,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/932513?guid=1652488426363&returnUrl=%2fresultado%2flistar%3fguid%3d1652488426363%26quantidadePaginas%3d1%26codigoRegistro%3d932513%23932513&i=2,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-5685-8004,orcid.org/0000-0002-9707-799X,sem orcid,sem orcid,,Universidade Estadual de Campinas (UNICAMP),35,Siome Goldenstein,no info,,,,,,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,no info,Universidade Estadual de Campinas,José Mario De Martino,no info,,,,,,sem orcid,sem orcid,,,,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,
36,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/931981?guid=1652488475317&returnUrl=%2fresultado%2flistar%3fguid%3d1652488475317%26quantidadePaginas%3d1%26codigoRegistro%3d931981%23931981&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-1957-9943,orcid.org/0000-0002-6731-1482,orcid.org/0000-0002-2457-0783,,University of Brasilia,36,sem orcid,sem orcid,,,,,,Ricardo Dahab,Brazil,Cryptography,sem orcid,University of Campinas,Mylene Farias,United States, Graph Theory,,,quality of experience,signal processing,Diego F. Aranha,Denmark,,,,Aarhus University,Julio Cesar Lopez Hernandez,Mexico,no info,,image processing,quality assessment,,Cryptography, Computer Security,,,
37,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/937441?guid=1652488519790&returnUrl=%2fresultado%2flistar%3fguid%3d1652488519790%26quantidadePaginas%3d1%26codigoRegistro%3d937441%23937441&i=5,orcid.org/0000-0002-4830-5298,orcid.org/0000-0003-0683-7672,orcid.org/0000-0002-1347-186X,sem orcid,sem orcid,sem orcid,no info,37,Anamaria Gomide,no info,,,,,,Maria Cecilia Calani Baranauskas,Brazil,HCI,no info,Universidade Estadual de Campinas,Jose Armando Valente,no info,Socially Aware Design,Organizational Semiotics,Participatory Design,,,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,
38,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/931099?guid=1652488553589&returnUrl=%2fresultado%2flistar%3fguid%3d1652488553589%26quantidadePaginas%3d1%26codigoRegistro%3d931099%23931099&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-9886-3506,orcid.org/0000-0003-0040-0752,sem orcid,,State University of Campinas,38,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,Claudia Medeiros,Brazil,Scientific data management,no info,Universidade Estadual de Campinas Instituto de Computação,Ana Estela Antunes da Silva,Brazil, Data interoperability, Open Science,,mineração de texto, aprendizado de máquina,sem orcid,sem orcid,,,,sem orcid,"Nunes, FLS",Brazil,no info,,,,,,,,,
39,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/931972?guid=1652488618999&returnUrl=%2fresultado%2flistar%3fguid%3d1652488618999%26quantidadePaginas%3d1%26codigoRegistro%3d931972%23931972&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-4861-7061,orcid.org/0000-0001-6574-341X,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-4236-8212,,no info,39,Aparecido Nilceu Marana,no info,,,,,,Alexandre Falcao,Brazil,image processing,Universidade Estadual Paulista Júlio de Mesquita Filho,Universidade Estadual de Campinas,Arnaldo  De Albuquerque Araujo ,no info, visualization, and analysis, (interactive) machine learning ,,,Anderson Rocha,Brazil,,,,Universidade Estadual de Campinas,Helio Pedrini,Brazil,University of Campinas,,,,image and video processing; machine learning; computer vision,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/932013?guid=1652488673635&returnUrl=%2fresultado%2flistar%3fguid%3d1652488673635%26quantidadePaginas%3d1%26codigoRegistro%3d932013%23932013&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-7538-7305,orcid.org/0000-0002-9598-5732,orcid.org/0000-0002-5259-2859,orcid.org/0000-0003-2998-6785,,no info,40,Jayme L Szwarcfiter,no info,,,,,,Flávio K. Miyazawa,no info,,Universidade Federal do Rio de Janeiro,no info,Luciana Buriol,no info,,,,,,LUIS MEIRA,Brazil,,,,State University of Campinas,Cristina G. Fernandes,no info,University of Sao Paulo,,,,approximation algorithms,optimization,Algorithms,,Petroleum engineering,graphs
41,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/934681?guid=1652488743060&returnUrl=%2fresultado%2flistar%3fguid%3d1652488743060%26quantidadePaginas%3d1%26codigoRegistro%3d934681%23934681&i=2,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-7327-848X,orcid.org/0000-0003-4890-1548,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-8972-080X,,Universidade de São Paulo,41,Clodoveu Davis,Brazil,Spatial databases,Geographic Information Systems,Spatial Data Infrastructures,Geocoding,Urban Computing,Claudia Medeiros,Brazil,Scientific data management,Universidade Federal de Minas Gerais,Universidade Estadual de Campinas Instituto de Computação,"Digiampietri, L.A. ; Digiampietri, L. ; Digiampietri, Luciano ; Digiampietri, Luciano Antonio",Brazil, Data interoperability, Open Science,, Bioinformatics, Workflow Management,Fábio Usberti,no info,,,,State University of Campinas,André Santanchè,no info,Universidade Estadual de Campinas,,Social Network Analysis,,,,,,,
