,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador1_filiação,avaliador2_filiação,avaliador1_nome,avaliador1_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,avaliador2_nome,avaliador2_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,orientador_keyword_3,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador3_filiação,avaliador2_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,orientador_keyword_4,avaliador1_keyword_6,avaliador1_keyword_7,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_4,avaliador3_keyword_5
10,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1242691,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8229-3385,orcid.org/0000-0002-8429-4119,,,University of Campinas,10,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,CDI-Solutions,Afonso Paiva,Brazil,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,Aurea Soriano-Vargas,Brazil,,,,,,Computer Science,Information Visualization,Visual Analytics,Data Science,,,,,,,,Artificial Intelligence,Data Representation,Machine Learning,Deep Learning,,,,,,,,,,,,,
11,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1245035,orcid.org/0000-0002-7603-9695,orcid.org/0000-0003-0467-3133,orcid.org/0000-0001-9820-6047,,,Universidade Estadual de Campinas,11,Universidade Estadual de Campinas,University of Florence,Esther Luna Colombini,no info,Leonardo Montecchi,Norway,,,TOMMASO ZOPPI,Italy,,,,,,Anomaly Detection, Intrusion Detection, Unsupervised Learning, Safety,,,,,,,, Security,,,,,,,,,,,,,,,,
12,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1246210,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-5652-0852,,,Universidade Estadual de Campinas,12,University of Campinas,Universidade Estadual de Campinas,Helio Pedrini,Brazil,Adín Ramírez Rivera,Norway,,,Roberto Lotufo,no info,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1244851,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-3734-7679,orcid.org/0000-0001-6030-2682,,,State University of Campinas,13,Universidade Federal de Itajubá,University of Campinas,Pedro Hokama,no info,Fábio Usberti,no info,,,Eduardo C. Xavier,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1246709,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-6494-7514,orcid.org/0000-0001-9068-938X,,,Universidade Estadual de Campinas,14,no info,Universidade Estadual de Campinas,João Paulo Papa,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,Sandra Avila,no info,machine learning, image processing, computervision, meta-heuristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1247332,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-7509-5532,,,no info,15,Universidade Estadual de Campinas,Universidade Federal do ABC,André Santanchè,no info,Jacques Wainer,Brazil,,,Jesús P. Mena-Chalco,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1246230,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-0357-8655,orcid.org/0000-0003-0125-630X,,,Universidade Estadual de Campinas,16,Universidade Federal de Sergipe,University of Campinas,Eduardo Oliveira Freire,no info,Esther Luna Colombini,no info,,,Helio Pedrini,Brazil,,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1247973,orcid.org/0000-0003-2608-4807,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6928-0168,,,Universidade Estadual de Campinas,17,State University of Campinas,no info,Joao Meidanis,no info,Guilherme P. Telles,Brazil,,,Marinella Sciortino,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1248397,orcid.org/0000-0002-8603-699X,orcid.org/0000-0003-3765-8300,orcid.org/0000-0002-0713-0583,,,University of Campinas,18,Brazilian Center for Research in Energy and Materials,no info,Allan Pinto,Brazil,Juliana Freitag Borin,Brazil,Internet of Things, Smart Cities,Fabrício Silva,no info,Computer Vision,Artificial Intelligence/Machine Learning,High-Performance Computing,Synchrotron Radiation,Image and video analysis,,,,, Computer network protocols,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1249913,orcid.org/0000-0003-1214-3431,orcid.org/0000-0003-1783-4231,orcid.org/0000-0001-5746-4154,,,Universidade Estadual de Campinas,19,Universidade Estadual de Campinas,no info,Edson Borin,no info,Hervé Yviquel,Brazil,Parallel Computing,High Performance Computing,Alfredo Goldman,no info,,,,,,,,,,Parallel Programming Model,,,,,,,,,,,Compilers,,,,,,,,,,,,
20,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1254536,orcid.org/0000-0001-9068-938X,orcid.org/0000-0001-9319-9829,orcid.org/0000-0002-8429-4119,,,Universidade Estadual de Campinas,20,Universidade Estadual de Campinas (UNICAMP),CDI-Solutions,Levy Boccato,no info,Sandra Avila,no info,,,Aurea Soriano-Vargas,Brazil,,,,,,Computer Science,Information Visualization,Visual Analytics,Data Science,,,,,,,,Artificial Intelligence,Data Representation,Machine Learning,Deep Learning,,,,,,,,,,,,,
21,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1253585,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-1546-3740,,,University of Campinas,21,Universidade Estadual de Campinas,Universidade Federal de Minas Gerais,André Santanchè,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,Carlos Caetano,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371284,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-4128-5415,orcid.org/0000-0003-0499-2564,,,Universidade Estadual de Campinas,22,Universidade Estadual de Campinas,Universidade Estadual de Campinas (UNICAMP),Fernando J. Von Zuben,no info,Edson Borin,no info,,,Marcos M. Raimundo,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1254318,orcid.org/0000-0003-1214-3431,orcid.org/0000-0003-1527-9668,orcid.org/0000-0002-5564-698X,,,Universidade Estadual de Campinas,23,Institut National des Sciences Appliquées de Rennes,University of Campinas,Karol Desnos,no info,Hervé Yviquel,Brazil,Parallel Computing,High Performance Computing,Lucas Wanner,no info,,,,,,,,,,Parallel Programming Model,,,,,,,,,,,Compilers,,,,,,,,,,,,
24,MESTRADO,https://www.repositorio.unicamp.br/Resultado/Listar?guid=1706887206525,Selenium_error,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371294,orcid.org/0000-0003-2608-4807,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-1287-8019,,,Universidade Estadual de Campinas,25,University of Campinas,no info,Helio Pedrini,Brazil,Guilherme P. Telles,Brazil,,,Paulo Oliveira,no info,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1256874,orcid.org/0000-0001-9068-938X,orcid.org/0000-0001-6465-356X,sem orcid,orcid.org/0000-0002-1534-5744,,Universidade Estadual de Campinas,26,Universidade Estadual de Campinas,sem orcid,Luiz Sérgio Carvalho,Brazil,Sandra Avila,no info,,,sem orcid,sem orcid,Coronary artery disease,Diabetes,Public health,Epidemiology,Biostatistics,,,,,,,Paula Dornhofer Paro Costa,Brazil,,,Universidade Estadual de Campinas (UNICAMP),,,,,,,,,,,,,,,,,
27,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1254351,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-6023-5982,orcid.org/0000-0001-6503-8016,,,Universidade Estadual de Campinas (UNICAMP),27,University of Campinas,The Open University,Islene Calciolari Garcia,no info,Julio Cesar Dos Reis,no info,,,Lara Piccolo,United Kingdom,,,,,,Community engagement,Technology for social change,Socially-aware computing,Human-computer interaction,,,,,,,,,,,,,,,,,,,,,,,,
28,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1260903,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6809-3547,orcid.org/0000-0003-2608-4807,,,State University of Campinas,28,Universidade Federal de Mato Grosso do Sul,Universidade Estadual de Campinas,Fabio Viduani Martinez,Brazil,Joao Meidanis,no info,,,Guilherme P. Telles,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1259169,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-9545-2098,orcid.org/0000-0003-2111-1319,,,no info,29,Universidade Estadual de Campinas (UNICAMP),University of São Paulo,Julio Cesar Dos Reis,no info,Jacques Wainer,Brazil,,,"Pardo, T.A.S.",Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1259671,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-4984-4832,orcid.org/0000-0003-2608-4807,,,Universidade Estadual de Campinas Instituto de Computação,30,no info,Universidade Estadual de Campinas,Jaudete Daltio,no info,Claudia Medeiros,Brazil,Scientific data management, Data interoperability,Guilherme P. Telles,Brazil,,,,,,,,,, Open Science,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1260386,orcid.org/0000-0002-4531-1473,orcid.org/0000-0002-7603-9695,orcid.org/0000-0003-4275-0638,,,Universidade Estadual de Campinas,31,Universidade Estadual de Campinas,Adapit Soluçõs em TI,Leonardo Montecchi,Norway,Breno Bernard Nicolau de França,Brazil,Empirical Software Engineering,Continuous Software Engineering,Fabio Basso,Brazil,,,,,,Model-Driven Engineering,Software Product Lines,Domain Specific Languages,MDE as a Service,Software Architecture,,,,,,,Internet of Things,Object-Oriented Framework,Automated Design,,,,,,,,,,,,,,
32,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1265519,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-1277-9336,orcid.org/0000-0002-6023-5982,,,University of Campinas,32,Universidade Federal de Mato Grosso do Sul,University of Campinas,Hana Rubinsztejn,no info,Juliana Freitag Borin,Brazil,Internet of Things, Smart Cities,Islene Calciolari Garcia,no info,,,,,,,,,, Computer network protocols,,,,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1265459,orcid.org/0000-0002-8972-080X,orcid.org/0000-0003-3081-9722,sem orcid,,,State University of Campinas,33,no info,sem orcid,Laura Assis,no info,Fábio Usberti,no info,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1260085,orcid.org/0000-0002-3372-3366,orcid.org/0000-0001-6994-8076,orcid.org/0000-0002-5652-0852,,,Universidade Estadual de Campinas,34,Federal University of Technology – Paraná,Universidade Estadual de Campinas,Thiago Henrique Silva,Brazil,Leandro Villas,Brazil,,,Roberto Lotufo,no info,Data Mining, Machine  Learning, Social Networks, Urban Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1265965,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-4929-7258,orcid.org/0000-0001-7745-6151,,,Universidade Estadual de Campinas,35,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,no info,Agma Traina,no info,Sandra Avila,no info,,,"Silva, Emely Pujólli da",no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1236910,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-5374-2521,sem orcid,orcid.org/0000-0002-4531-1473,orcid.org/0000-0002-3823-8941,Universidade Estadual de Campinas,36,no info,sem orcid,Emilio Francesquini,Brazil,Guido Araujo,no info,,,sem orcid,sem orcid,,,,,,,,,,,University of Campinas,Breno Bernard Nicolau de França,Brazil,Luiz Eduardo Buzato,Brazil,Universidade Estadual de Campinas,,,,,,,,,Empirical Software Engineering,Continuous Software Engineering,Software Architecture,distributed systems,distributed algorithms,fault tolerance,,,
37,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1238495,orcid.org/0000-0002-5564-698X,sem orcid,sem orcid,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-9539-6874,University of Campinas,37,sem orcid,sem orcid,sem orcid,sem orcid,Lucas Wanner,no info,,,sem orcid,sem orcid,,,,,,,,,,,Universidade Estadual de Campinas,Edson Borin,no info,Sandro Rigo,Brazil,Universidade Estadual de Campinas,,,,,,,,,,,,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,
38,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1269233,orcid.org/0000-0003-2046-602X,orcid.org/0000-0003-2223-947X,orcid.org/0000-0001-8585-706X,orcid.org/0000-0002-6275-6503,orcid.org/0000-0002-1180-2637,Universidade Estadual de Campinas,38,University of Cauca,Universidad del Qundío,Oscar Mauricio Caicedo Rendon,Colombia,Nelson L. S. da Fonseca,no info,,,Wilmar Yesid Campo Muñoz,no info,,,,,,,,,,,UNICAMP - University of Campinas,Jéferson Campos Nobre,Brazil,Edmundo Madeira,no info,Universidade do Vale do Rio dos Sinos,,,,,,,,,,,,,,,,,
39,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1241314,orcid.org/0000-0002-7002-875X,orcid.org/0000-0003-3551-4063,sem orcid,orcid.org/0000-0002-8837-9291,orcid.org/0000-0002-6731-1482,University of Campinas,39,Carleton University,sem orcid,Daniel Panario,no info,Ricardo Dahab,Brazil,Cryptography, Graph Theory,sem orcid,sem orcid,,,,,,,,,,,no info,Sueli I. R. Costa,no info,Julio Cesar Lopez Hernandez,Mexico,University of Campinas,,,,,,,,,Lattices and applications to coding and cryptography,Information geometry,,,,,,,
40,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1246260,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8597-4987,orcid.org/0000-0003-2440-0247,orcid.org/0000-0003-3765-8300,orcid.org/0000-0002-2961-4044,University of Campinas,40,Universidade Federal do ABC,Universidade Federal de Ouro Preto,Ronaldo Prati,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,Guillermo Camara Chavez,no info,data mining, machine learning, artificial intelligence,,,,,,,,University of Campinas (UNICAMP),Allan Pinto,Brazil,Romis Attux,Brazil,Brazilian Center for Research in Energy and Materials,,,,,,,,,Computer Vision,Artificial Intelligence/Machine Learning,High-Performance Computing,Machine Learning,Adaptive Signal Processing,Brain-Computer Interfaces,Dynamical Systems,Synchrotron Radiation,Image and video analysis
41,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1245826,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-5591-3750,orcid.org/0000-0001-6305-9059,orcid.org/0000-0002-4851-5228,Universidade Estadual de Campinas,41,UNICAMP - University of Campinas,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Edmundo Madeira,no info,Nelson L. S. da Fonseca,no info,,,Jo Ueyama,no info,,,,,,,,,,,Federal University of Bahia,Luiz Fernando Bittencourt,no info,Maycon Peixoto,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,
42,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1249064,orcid.org/0000-0001-9068-938X,orcid.org/0000-0001-7637-4293,orcid.org/0000-0002-9272-3403,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-3754-9115,Universidade Estadual de Campinas,42,no info,Embrapa Agricultura Digital,Filipe de Oliveira Costa,Brazil,Sandra Avila,no info,,,Thiago T. Santos,Brazil,,,,,,computer vision,digital agriculture,phenotyping,SLAM,,Instituto Butantan,Esther Luna Colombini,no info,Marcelo Reis,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,
43,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1249078,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-7718-8142,orcid.org/0000-0002-1156-8270,orcid.org/0000-0001-8793-3185,orcid.org/0000-0002-3754-9115,University of Campinas,43,Brazilian Bioethanol Science and Technology Laboratory (CTBE/CNPEM),Embrapa Informática Agropecuária,Guilherme Sanches,Brazil,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,Jayme Barbedo,Brazil,Precision Farming,Precision Agriculture,Machine Learning,Sugarcane,Site-specific management,,,,,,Instituto Butantan,Juliana Fracarolli,no info,Marcelo Reis,no info,State University of Campinas,,,,,,Statistical analysis,Geostatistical analysis,,,,,,,,,,
44,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1346774,orcid.org/0000-0001-9772-263X,orcid.org/0000-0001-7637-4293,orcid.org/0000-0002-6317-218X,orcid.org/0000-0001-9319-9829,orcid.org/0000-0002-3754-9115,Universidade Estadual de Campinas,44,no info,University of Brasilia,Filipe de Oliveira Costa,Brazil,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,Flavio de Barros Vidal,no info,,,,,,,,,,machine learning,Instituto Butantan,Levy Boccato,no info,Marcelo Reis,no info,Universidade Estadual de Campinas (UNICAMP),,,,,information visualization,,,data science,,,,,,,,,
45,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1247954,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-5868-6661,orcid.org/0000-0002-8340-4881,sem orcid,sem orcid,University of Campinas,45,Federal Institute of Ceará,no info,Ana Shirley Monteiro da Silva,Brazil,Orlando Lee,no info,,,"Simone Dantas; Dantas, S.; S. Dantas",no info,,,,,,Discrete Matematics,Computer Science,,,,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,
46,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1363183,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-7461-7570,orcid.org/0000-0003-2112-4806,orcid.org/0000-0003-4929-7258,,Universidade Estadual de Campinas,46,Universidade Federal do Rio Grande do Norte,no info,Marjory Da Costa Abreu,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,Cristina Vasconcelos,no info,ethical artificial intelligence,biometrics,privacy and GDPR,data-drive healthcare,Paulo Freire pedagogy applied to computing,,,,,,,Agma Traina,no info,,,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,,,,,,digital law,,,,,,,,,,,
47,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1254355,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-1095-6714,orcid.org/0000-0002-5455-8910,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-6023-5982,UNICAMP - University of Campinas,47,Universidade Federal de Minas Gerais,Federal University of São Carlos,José Marcos Silva Nogueira,Brazil,Edmundo Madeira,no info,,,Fabio Verdi,Brazil,Computer Networks,Computer Science,Computer Systems,,,Computer Networks, SDN, Cloud computing, monitoring,,University of Campinas,Juliana Freitag Borin,Brazil,Islene Calciolari Garcia,no info,University of Campinas, management, virtualizatoin,,,,,,,Internet of Things, Smart Cities, Computer network protocols,,,,,,
48,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1254700,orcid.org/0000-0002-9529-4253,orcid.org/0000-0002-9955-5721,orcid.org/0000-0002-8229-3139,orcid.org/0000-0002-0472-4810,orcid.org/0000-0003-1001-082X,University of Campinas,48,no info,Universidade de São Paulo,Alexandre Cunha,no info,Pedro J. de Rezende,no info,,,Yoshiko Wakabayashi,Brazil,,,,,,,,,,,University of Campinas,Rafael C. S. Schouery,no info,Lehilton Pedrosa,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,
49,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1254885,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-9545-2098,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-2111-1319,orcid.org/0000-0002-3875-2211,Universidade Estadual de Campinas,49,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,Julio Cesar Dos Reis,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,Sandra Avila,no info,,,,,,,,,,,no info,"Pardo, T.A.S.",Brazil,Nádia Silva,no info,University of São Paulo,,,,,,,,,,,,,,,,,
50,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1256761,orcid.org/0000-0002-6731-1482,orcid.org/0000-0001-9242-2806,orcid.org/0000-0001-9577-9309,orcid.org/0000-0001-9241-2229,orcid.org/0000-0003-0225-5106,no info,50,Universidade de São Paulo,no info,Routo Terada,Brazil,Julio Cesar Lopez Hernandez,Mexico,,,Eduardo Morais,no info,Cryptography,,,,,,,,,,Universidade Estadual Paulista (Unesp),Marco A. Amaral Henriques,no info,Sara D. Cardell,no info,University of Campinas,,,,,,,,,,,,,,,,,
