,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador1_filiação,row_idx,avaliador2_filiação,orientador_filiação,orientador_nome,orientador_país,avaliador2_nome,avaliador2_país,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_keyword_1,avaliador4_filiação,avaliador4_nome,avaliador4_país,avaliador5_filiação,avaliador5_nome,avaliador5_país,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador1_keyword_5,avaliador2_keyword_2,avaliador1_keyword_6,avaliador1_keyword_7,avaliador1_keyword_8,avaliador1_keyword_9,avaliador1_keyword_10,avaliador1_keyword_11,avaliador2_keyword_3,avaliador2_keyword_4,orientador_keyword_5,avaliador2_keyword_5,avaliador2_keyword_6,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_1,avaliador4_keyword_2,avaliador3_keyword_5,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1014614?guid=1652795633149&returnUrl=%2fresultado%2flistar%3fguid%3d1652795633149%26quantidadePaginas%3d1%26codigoRegistro%3d1014614%231014614&i=2,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-9598-5732,orcid.org/0000-0002-8972-080X,,,,no info,10,State University of Campinas,Universidade Estadual de Campinas,Cid de Souza,Brazil,Fábio Usberti,no info,Luciana Buriol,no info,,,,,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1022097?guid=1652795678209&returnUrl=%2fresultado%2flistar%3fguid%3d1652795678209%26quantidadePaginas%3d1%26codigoRegistro%3d1022097%231022097&i=1,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-5945-0845,orcid.org/0000-0001-8273-9439,,,,Universidade Estadual de Campinas,11,Universidade Federal Fluminense,University of Campinas,Eduardo C. Xavier,Brazil,Luidi Simonetti,no info,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1035934?guid=1652795719734&returnUrl=%2fresultado%2flistar%3fguid%3d1652795719734%26quantidadePaginas%3d1%26codigoRegistro%3d1035934%231035934&i=2,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-7461-7570,orcid.org/0000-0003-0125-630X,,,,Universidade Federal do Rio Grande do Norte,12,University of Campinas,University of Campinas,Ricardo Dahab,Brazil,Helio Pedrini,Brazil,Marjory Da Costa Abreu,no info,ethical artificial intelligence,biometrics,privacy and GDPR,data-drive healthcare,Cryptography, Graph Theory,,,image and video processing; machine learning; computer vision,,,,,,,,,,Paulo Freire pedagogy applied to computing,,digital law,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1045562?guid=1652795800392&returnUrl=%2fresultado%2flistar%3fguid%3d1652795800392%26quantidadePaginas%3d1%26codigoRegistro%3d1045562%231045562&i=2,orcid.org/0000-0003-4869-5190,orcid.org/0000-0003-2608-4807,sem orcid,,,,Universidade Estadual de Campinas,13,sem orcid,Universidade Estadual de Campinas,Guido Araujo,no info,sem orcid,sem orcid,Guilherme P. Telles,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1022093?guid=1652795830182&returnUrl=%2fresultado%2flistar%3fguid%3d1652795830182%26quantidadePaginas%3d1%26codigoRegistro%3d1022093%231022093&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0001-5122-5646,orcid.org/0000-0002-9545-2098,,,,Universidade Estadual de Campinas,14,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas Instituto de Computação,Claudia Medeiros,Brazil,Julio Cesar Dos Reis,no info,Benilton Carvalho,Brazil,Applied Statistics,Biostatistics,Bioinformatics,Computational Biology,Scientific data management, Data interoperability, Open Science,,,,,,,,,,,,Next-Generation Sequencing,,RNA-Seq,DNA-Seq,WES-Seq,Gene Expression,Genotyping,Association Studies,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1021824?guid=1652795865464&returnUrl=%2fresultado%2flistar%3fguid%3d1652795865464%26quantidadePaginas%3d1%26codigoRegistro%3d1021824%231021824&i=1,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-8803-0401,sem orcid,,,,UNICAMP,15,sem orcid,University of Campinas,Lucas Wanner,no info,sem orcid,sem orcid,Rodolfo Azevedo,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1064125?guid=1652795909070&returnUrl=%2fresultado%2flistar%3fguid%3d1652795909070%26quantidadePaginas%3d1%26codigoRegistro%3d1064125%231064125&i=2,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-0375-1657,,,,Universidade Estadual de Campinas,16,Universidade Federal de Minas Gerais,Universidade Estadual de Campinas,Guido Araujo,no info,Fernando Magno Quintão Pereira,Brazil,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,,,,Compilers,,,,,,,,,,, Programming Languages,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1031433?guid=1652796030429&returnUrl=%2fresultado%2flistar%3fguid%3d1652796030429%26quantidadePaginas%3d1%26codigoRegistro%3d1031433%231031433&i=1,orcid.org/0000-0003-4237-4281,orcid.org/0000-0002-8340-4881,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-8639-3532,,,no info,17,no info,University of Campinas,C. N. Campos,Brazil,Flávio K. Miyazawa,no info,"Simone Dantas; Dantas, S.; S. Dantas",no info,Discrete Matematics,Computer Science,,,,,,,,,,,,,,Sheila Almeida,Brazil,Federal University of Technology - Paraná,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1062516?guid=1652796087172&returnUrl=%2fresultado%2flistar%3fguid%3d1652796087172%26quantidadePaginas%3d1%26codigoRegistro%3d1062516%231062516&i=1,orcid.org/0000-0002-2457-0783,orcid.org/0000-0001-9241-2229,orcid.org/0000-0002-6731-1482,,,,University of Campinas,18,no info,Aarhus University,Diego F. Aranha,Denmark,Julio Cesar Lopez Hernandez,Mexico,Marco A. Amaral Henriques,no info,,,,,Cryptography, Computer Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1022161?guid=1652796118204&returnUrl=%2fresultado%2flistar%3fguid%3d1652796118204%26quantidadePaginas%3d1%26codigoRegistro%3d1022161%231022161&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0002-6494-7514,sem orcid,,,,no info,19,sem orcid,Universidade Estadual de Campinas,Alexandre Falcao,Brazil,sem orcid,sem orcid,João Paulo Papa,no info,machine learning, image processing, computervision, meta-heuristics,image processing, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1060482?guid=1652796163746&returnUrl=%2fresultado%2flistar%3fguid%3d1652796163746%26quantidadePaginas%3d1%26codigoRegistro%3d1060482%231060482&i=3,orcid.org/0000-0002-6731-1482,orcid.org/0000-0001-5227-7165,orcid.org/0000-0002-2457-0783,,,,Universidade de São Paulo,20,Aarhus University,no info,Julio Cesar Lopez Hernandez,Mexico,Diego F. Aranha,Denmark,Marcos Simplicio,Brazil,,,,,,,,,Cryptography,,,,,,,,,,, Computer Security,,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1052146?guid=1652796255297&returnUrl=%2fresultado%2flistar%3fguid%3d1652796255297%26quantidadePaginas%3d1%26codigoRegistro%3d1052146%231052146&i=1,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-8856-194X,orcid.org/0000-0003-3233-0314,,,,University of Campinas,21,Federal University of São Carlos,University of Campinas,Juliana Freitag Borin,Brazil,Joice Lee Otsuka,Brazil,Ricardo Anido,Brazil,,,,,Internet of Things, Smart Cities, Computer network protocols,,educational game,,,,,,,,,,,accessibility,,,,,,,inclusive design,serious game,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1038215?guid=1652796372073&returnUrl=%2fresultado%2flistar%3fguid%3d1652796372073%26quantidadePaginas%3d1%26codigoRegistro%3d1038215%231038215&i=2,orcid.org/0000-0002-6540-8686,orcid.org/0000-0003-1766-5757,orcid.org/0000-0002-7603-9695,,,,UFPR,22,Universidade Estadual de Campinas,University of Campinas,Paulo de Geus,Brazil,Leonardo Montecchi,Norway,Andre Gregio,no info,,,,,Computer Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1056656?guid=1652796497162&returnUrl=%2fresultado%2flistar%3fguid%3d1652796497162%26quantidadePaginas%3d1%26codigoRegistro%3d1056656%231056656&i=1,orcid.org/0000-0003-1001-082X,orcid.org/0000-0003-2998-6785,orcid.org/0000-0002-5945-0845,,,,State University of Campinas,23,Universidade Estadual de Campinas,University of Campinas,Lehilton Pedrosa,no info,Cid de Souza,Brazil,LUIS MEIRA,Brazil,optimization,Algorithms,Petroleum engineering,graphs,,,,,Integer Programming,,,,,,,,,,,Combinatorial Optimization,,,,,,,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1060094?guid=1652796666877&returnUrl=%2fresultado%2flistar%3fguid%3d1652796666877%26quantidadePaginas%3d1%26codigoRegistro%3d1060094%231060094&i=7,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-3109-4305,orcid.org/0000-0002-9545-2098,,,,Universidade Estadual de Campinas (UNICAMP),24,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,André Santanchè,no info,Julio Cesar Dos Reis,no info,Christian Esteve Rothenberg,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1061736?guid=1652796726788&returnUrl=%2fresultado%2flistar%3fguid%3d1652796726788%26quantidadePaginas%3d1%26codigoRegistro%3d1061736%231061736&i=1,orcid.org/0000-0002-1067-6421,sem orcid,orcid.org/0000-0003-0602-6298,,,,sem orcid,25,Universidade Federal do ABC,no info,Flávio K. Miyazawa,no info,Carla Negri Lintzmayer,Brazil,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1080524?guid=1652796769895&returnUrl=%2fresultado%2flistar%3fguid%3d1652796769895%26quantidadePaginas%3d1%26codigoRegistro%3d1080524%231080524&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0001-8969-4683,orcid.org/0000-0002-0796-3868,,,,no info,26,Instituto Nacional de Pesquisas Espaciais,no info,Eliane Martins,no info,Fátima Mattiello-Francisco,Brazil,Alexandre Braga,no info,,,,,,,,,Space engineering,,,,,,,,,,, Verification and Validation,,,,,,,  operation concept,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1063477?guid=1652796802026&returnUrl=%2fresultado%2flistar%3fguid%3d1652796802026%26quantidadePaginas%3d1%26codigoRegistro%3d1063477%231063477&i=2,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-5746-4154,orcid.org/0000-0002-3372-3366,,,,no info,27,Universidade Estadual de Campinas,UNICAMP - University of Campinas,Edmundo Madeira,no info,Leandro Villas,Brazil,Alfredo Goldman,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1063580?guid=1652796848151&returnUrl=%2fresultado%2flistar%3fguid%3d1652796848151%26quantidadePaginas%3d1%26codigoRegistro%3d1063580%231063580&i=5,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-2347-5215,orcid.org/0000-0003-2608-4807,,,,no info,28,Universidade Estadual de Campinas,University of Campinas,Helio Pedrini,Brazil,Guilherme P. Telles,Brazil,Jorge Vicente Lopes da Silva,Brazil,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1063445?guid=1652796906486&returnUrl=%2fresultado%2flistar%3fguid%3d1652796906486%26quantidadePaginas%3d1%26codigoRegistro%3d1063445%231063445&i=2,orcid.org/0000-0003-4869-5190,orcid.org/0000-0003-1802-7829,orcid.org/0000-0002-5564-698X,,,,Universidade Federal de Viçosa,29,University of Campinas,Universidade Estadual de Campinas,Guido Araujo,no info,Lucas Wanner,no info,Ricardo Ferreira,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1079803?guid=1652796962473&returnUrl=%2fresultado%2flistar%3fguid%3d1652796962473%26quantidadePaginas%3d1%26codigoRegistro%3d1079803%231079803&i=3,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-5760-8426,orcid.org/0000-0003-0125-630X,,,,no info,30,University of Campinas,Universidade Estadual de Campinas,Esther Luna Colombini,no info,Helio Pedrini,Brazil,Carlos Ribeiro,no info,,,,,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1080384?guid=1652797026847&returnUrl=%2fresultado%2flistar%3fguid%3d1652797026847%26quantidadePaginas%3d1%26codigoRegistro%3d1080384%231080384&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0001-5929-593X,orcid.org/0000-0002-8972-080X,,,,Universidade Federal de São Carlos,31,State University of Campinas,no info,Flávio K. Miyazawa,no info,Fábio Usberti,no info,Pedro Munari,Brazil,Column generation,Branch-and-price,Interior point methods,Vehicle routing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1089751?guid=1652797051334&returnUrl=%2fresultado%2flistar%3fguid%3d1652797051334%26quantidadePaginas%3d1%26codigoRegistro%3d1089751%231089751&i=3,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-4059-8700,,,,Universidade Estadual de Campinas,32,Federal University of São Carlos,Universidade Estadual de Campinas,Maria Cecilia Calani Baranauskas,Brazil,Vânia Paula de Almeida Neris,no info,André Santanchè,no info,,,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1080380?guid=1652797110870&returnUrl=%2fresultado%2flistar%3fguid%3d1652797110870%26quantidadePaginas%3d1%26codigoRegistro%3d1080380%231080380&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-3891-1593,,,,sem orcid,33,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Guido Araujo,no info,mario cortes,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1080338?guid=1652797202093&returnUrl=%2fresultado%2flistar%3fguid%3d1652797202093%26quantidadePaginas%3d1%26codigoRegistro%3d1080338%231080338&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-8182-5554,orcid.org/0000-0001-9068-938X,,,,University of Campinas,34,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Anderson Rocha,Brazil,Sandra Avila,no info,Leticia Rittner,no info,,,,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1080188?guid=1652797272807&returnUrl=%2fresultado%2flistar%3fguid%3d1652797272807%26quantidadePaginas%3d1%26codigoRegistro%3d1080188%231080188&i=1,orcid.org/0000-0002-8603-699X,sem orcid,orcid.org/0000-0001-9152-0658,,,,sem orcid,35,no info,University of Campinas,Juliana Freitag Borin,Brazil,Ricardo Caceffo,no info,sem orcid,sem orcid,,,,,Internet of Things, Smart Cities, Computer network protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1079882?guid=1652797321439&returnUrl=%2fresultado%2flistar%3fguid%3d1652797321439%26quantidadePaginas%3d1%26codigoRegistro%3d1079882%231079882&i=1,orcid.org/0000-0002-8603-699X,orcid.org/0000-0001-8824-3055,orcid.org/0000-0002-9539-6874,,,,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",36,Universidade Estadual de Campinas,University of Campinas,Juliana Freitag Borin,Brazil,Sandro Rigo,Brazil,Alexandro Baldassin,Brazil,Computer architecture,Parallel Programming,Transactional Memory,Persistent Memory,Internet of Things, Smart Cities, Computer network protocols,,Computer Architecture,,,,,,,,,,,Compilers,,,,,,,Code Optimization,High-Performance Computing,,,,,,,,,,,,,
37,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/991730?guid=1652797371095&returnUrl=%2fresultado%2flistar%3fguid%3d1652797371095%26quantidadePaginas%3d1%26codigoRegistro%3d991730%23991730&i=2,orcid.org/0000-0001-5968-7108,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-2162-6523,orcid.org/0000-0002-5250-1785,,,UNICAMP - University of Campinas,37,no info,Universitat Bern,Torsten Braun,Switzerland,Eduardo Cerqueira,no info,Edmundo Madeira,no info,,,,,,,,,,,,,,,,Antonio A. F. Loureiro,no info,Universidade Federal de Minas Gerais,,,,,,,,,,,,,,,,,,,,,,,
38,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1010003?guid=1652797475462&returnUrl=%2fresultado%2flistar%3fguid%3d1652797475462%26quantidadePaginas%3d1%26codigoRegistro%3d1010003%231010003&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-5378-4732,orcid.org/0000-0002-5455-8910,orcid.org/0000-0003-3109-4305,orcid.org/0000-0003-2046-602X,,Universidade Federal de Pernambuco,38,Federal University of São Carlos,UNICAMP - University of Campinas,Edmundo Madeira,no info,Fabio Verdi,Brazil,Djamel F Hadj Sadok,Brazil,Computer Networks,Communication Systems,Protocols,Security,,,,,Computer Networks,Universidade Estadual de Campinas,Nelson L. S. da Fonseca,no info,,,,Christian Esteve Rothenberg,no info,Universidade Estadual de Campinas (UNICAMP),Cloud Computing, SDN,,,,,,, Cloud computing, monitoring,, management, virtualizatoin,,,,,,,,,,
39,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1014643?guid=1652797549038&returnUrl=%2fresultado%2flistar%3fguid%3d1652797549038%26quantidadePaginas%3d1%26codigoRegistro%3d1014643%231014643&i=1,orcid.org/0000-0003-4462-3325,sem orcid,orcid.org/0000-0001-7878-4990,sem orcid,orcid.org/0000-0002-8340-4881,,sem orcid,39,State University of Campinas,University of Campinas,Orlando Lee,no info,Joao Meidanis,no info,sem orcid,sem orcid,,,,,,,,,,no info,"Simone Dantas; Dantas, S.; S. Dantas",no info,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,Discrete Matematics,Computer Science,,,,
