,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,orientador_filiação,row_idx,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_filiação,avaliador2_filiação,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador3_filiação,avaliador5_nome,avaliador5_país,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador5_filiação,avaliador4_nome,avaliador4_país,avaliador1_keyword_5,avaliador4_keyword_1,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_5
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444843?guid=1652142806139&returnUrl=%2fresultado%2flistar%3fguid%3d1652142806139%26quantidadePaginas%3d1%26codigoRegistro%3d444843%23444843&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0001-7309-4528,orcid.org/0000-0001-5685-8004,,,,no info,10,Anna H Reali Costa,Brazil,,,,,Universidade de São Paulo,no info,Siome Goldenstein,no info,,,,,,Jacques Wainer,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444531?guid=1652142858756&returnUrl=%2fresultado%2flistar%3fguid%3d1652142858756%26quantidadePaginas%3d1%26codigoRegistro%3d444531%23444531&i=1,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0003-0683-7672,,,,Universidade Estadual de Campinas,11,sem orcid,sem orcid,,,,,sem orcid,no info,Anamaria Gomide,no info,,,,,,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/445010?guid=1652142922502&returnUrl=%2fresultado%2flistar%3fguid%3d1652142922502%26quantidadePaginas%3d1%26codigoRegistro%3d445010%23445010&i=1,orcid.org/0000-0002-4830-5298,sem orcid,sem orcid,,,,Universidade Estadual de Campinas,12,sem orcid,sem orcid,,,,,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/448093?guid=1652143134631&returnUrl=%2fresultado%2flistar%3fguid%3d1652143134631%26quantidadePaginas%3d1%26codigoRegistro%3d448093%23448093&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0003-4290-6508,,,,Universidade Estadual de Campinas Instituto de Computação,13,sem orcid,sem orcid,,,,,sem orcid,no info,Eliane Martins,no info,,,,,,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467483?guid=1652143269242&returnUrl=%2fresultado%2flistar%3fguid%3d1652143269242%26quantidadePaginas%3d1%26codigoRegistro%3d467483%23467483&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0002-7002-875X,,,,no info,14,sem orcid,sem orcid,,,,,sem orcid,University of Campinas,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,Eliane Martins,no info,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467464?guid=1652145151925&returnUrl=%2fresultado%2flistar%3fguid%3d1652145151925%26quantidadePaginas%3d1%26codigoRegistro%3d467464%23467464&i=1,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0001-8309-6367,,,,no info,15,sem orcid,sem orcid,,,,,sem orcid,Universidade Estadual de Campinas,Ariadne Carvalho,no info,,,,,,Jacques Wainer,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/448924?guid=1652145191220&returnUrl=%2fresultado%2flistar%3fguid%3d1652145191220%26quantidadePaginas%3d1%26codigoRegistro%3d448924%23448924&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-1180-2637,,,,Universidade Estadual de Campinas Instituto de Computação,16,André Santanchè,no info,,,,,Universidade Estadual de Campinas,UNICAMP - University of Campinas,Edmundo Madeira,no info,,,,,,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467451?guid=1652145354940&returnUrl=%2fresultado%2flistar%3fguid%3d1652145354940%26quantidadePaginas%3d1%26codigoRegistro%3d467451%23467451&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0002-6023-5982,,,,UNICAMP - University of Campinas,17,sem orcid,sem orcid,,,,,sem orcid,University of Campinas,Islene Calciolari Garcia,no info,,,,,,Edmundo Madeira,no info,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/794398?guid=1652145397234&returnUrl=%2fresultado%2flistar%3fguid%3d1652145397234%26quantidadePaginas%3d1%26codigoRegistro%3d794398%23794398&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-4890-1548,sem orcid,,,,Universidade Estadual de Campinas Instituto de Computação,18,"Digiampietri, L.A. ; Digiampietri, L. ; Digiampietri, Luciano ; Digiampietri, Luciano Antonio",Brazil, Bioinformatics, Workflow Management,Social Network Analysis,,Universidade de São Paulo,sem orcid,sem orcid,sem orcid,,,,,,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/466855?guid=1652145434510&returnUrl=%2fresultado%2flistar%3fguid%3d1652145434510%26quantidadePaginas%3d1%26codigoRegistro%3d466855%23466855&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0002-3159-4839,sem orcid,,,,no info,19,Jorge Stolfi,no info,,,,,State University of Campinas,sem orcid,sem orcid,sem orcid,,,,,,Siome Goldenstein,no info,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/474915?guid=1652145468783&returnUrl=%2fresultado%2flistar%3fguid%3d1652145468783%26quantidadePaginas%3d1%26codigoRegistro%3d474915%23474915&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0001-5201-1244,,,,UNICAMP - University of Campinas,20,sem orcid,sem orcid,,,,,sem orcid,no info,Jacques Wainer,Brazil,,,,,,Edmundo Madeira,no info,,,,,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/772061?guid=1652145495707&returnUrl=%2fresultado%2flistar%3fguid%3d1652145495707%26quantidadePaginas%3d1%26codigoRegistro%3d772061%23772061&i=1,sem orcid,sem orcid,orcid.org/0000-0002-6023-5982,,,,sem orcid,21,sem orcid,sem orcid,,,,,sem orcid,University of Campinas,Islene Calciolari Garcia,no info,,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477497?guid=1652145554072&returnUrl=%2fresultado%2flistar%3fguid%3d1652145554072%26quantidadePaginas%3d1%26codigoRegistro%3d477497%23477497&i=1,orcid.org/0000-0002-5945-0845,orcid.org/0000-0003-4804-5788,orcid.org/0000-0002-1067-6421,,,,Universidade Estadual de Campinas,22,Carlos Ferreira,no info,,,,,University of São Paulo,no info,Flávio K. Miyazawa,no info,,,,,,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/474868?guid=1652145643622&returnUrl=%2fresultado%2flistar%3fguid%3d1652145643622%26quantidadePaginas%3d1%26codigoRegistro%3d474868%23474868&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0002-8803-0401,,,,Universidade Estadual de Campinas Instituto de Computação,23,sem orcid,sem orcid,,,,,sem orcid,UNICAMP,Rodolfo Azevedo,Brazil,,,,,,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/478297?guid=1652145698137&returnUrl=%2fresultado%2flistar%3fguid%3d1652145698137%26quantidadePaginas%3d1%26codigoRegistro%3d478297%23478297&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-3692-2202,orcid.org/0000-0003-1908-4753,,,,no info,24,Delano Beder,no info,,,,,no info,Universidade Estadual de Campinas Instituto de Computação,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477393?guid=1652145767368&returnUrl=%2fresultado%2flistar%3fguid%3d1652145767368%26quantidadePaginas%3d1%26codigoRegistro%3d477393%23477393&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-4890-1548,sem orcid,,,,Universidade Estadual de Campinas,25,"Digiampietri, L.A. ; Digiampietri, L. ; Digiampietri, Luciano ; Digiampietri, Luciano Antonio",Brazil, Bioinformatics, Workflow Management,Social Network Analysis,,Universidade de São Paulo,sem orcid,sem orcid,sem orcid,,,,,,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477491?guid=1652145910333&returnUrl=%2fresultado%2flistar%3fguid%3d1652145910333%26quantidadePaginas%3d1%26codigoRegistro%3d477491%23477491&i=1,orcid.org/0000-0002-8856-194X,orcid.org/0000-0001-5201-1244,sem orcid,,,,University of Campinas,26,Jacques Wainer,Brazil,,,,,no info,sem orcid,sem orcid,sem orcid,,,,,,Ricardo Anido,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477357?guid=1652145951375&returnUrl=%2fresultado%2flistar%3fguid%3d1652145951375%26quantidadePaginas%3d1%26codigoRegistro%3d477357%23477357&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-7002-875X,,,,Universidade Estadual de Campinas,27,sem orcid,sem orcid,,,,,sem orcid,University of Campinas,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,Guido Araujo,no info,,,,,,,,,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/773938?guid=1652145994015&returnUrl=%2fresultado%2flistar%3fguid%3d1652145994015%26quantidadePaginas%3d1%26codigoRegistro%3d773938%23773938&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0003-4462-3325,sem orcid,,,,no info,28,Orlando Lee,no info,,,,,University of Campinas,sem orcid,sem orcid,sem orcid,,,,,,Flávio K. Miyazawa,no info,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477324?guid=1652146041903&returnUrl=%2fresultado%2flistar%3fguid%3d1652146041903%26quantidadePaginas%3d1%26codigoRegistro%3d477324%23477324&i=1,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0002-9539-6874,,,,UNICAMP,29,sem orcid,sem orcid,,,,,sem orcid,Universidade Estadual de Campinas,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,,Rodolfo Azevedo,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/476755?guid=1652146084222&returnUrl=%2fresultado%2flistar%3fguid%3d1652146084222%26quantidadePaginas%3d1%26codigoRegistro%3d476755%23476755&i=4,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-5861-4414,orcid.org/0000-0002-1180-2637,,,,University of Campinas,30,ALDRI LUIZ DOS SANTOS,Brazil,Network Management,Network Security,Dependability,Networking,Federal University of Minas Gerais,UNICAMP - University of Campinas,Edmundo Madeira,no info,,,,,,Paulo de Geus,Brazil,Computer Security,,,,,,,,,,,,,,Intelligent Systems,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/477402?guid=1652146149005&returnUrl=%2fresultado%2flistar%3fguid%3d1652146149005%26quantidadePaginas%3d1%26codigoRegistro%3d477402%23477402&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,,no info,31,sem orcid,sem orcid,,,,,sem orcid,no info,Eliane Martins,no info,,,,,,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,,,,,,,,,,,,,,,,,,,
32,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/436270?guid=1652146188086&returnUrl=%2fresultado%2flistar%3fguid%3d1652146188086%26quantidadePaginas%3d1%26codigoRegistro%3d436270%23436270&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0003-4861-7061,orcid.org/0000-0003-3861-7260,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,,no info,32,Aparecido Nilceu Marana,no info,,,,,Universidade Estadual Paulista Júlio de Mesquita Filho,Universidade de São Paulo,Roberto Hirata Jr.,Brazil,,,,,,Neucimar Leite,no info,,,,,,Universidade Estadual de Campinas,,,University of Campinas,Alexandre Falcao,Brazil,,Helio Pedrini,Brazil,,image and video processing; machine learning; computer vision,image processing, visualization, and analysis, (interactive) machine learning ,,,,
33,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/437602?guid=1652146232865&returnUrl=%2fresultado%2flistar%3fguid%3d1652146232865%26quantidadePaginas%3d1%26codigoRegistro%3d437602%23437602&i=1,orcid.org/0000-0001-5685-8004,sem orcid,orcid.org/0000-0001-5203-4366,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-5652-0852,,no info,33,sem orcid,sem orcid,,,,,sem orcid,no info,Luciano da Fontoura Costa,no info,,,,,,Siome Goldenstein,no info,,,,,,University of Campinas,,,Universidade Estadual de Campinas,Ricardo Dahab,Brazil,,Roberto Lotufo,no info,,,Cryptography, Graph Theory,,,,,,
34,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/774049?guid=1652146274036&returnUrl=%2fresultado%2flistar%3fguid%3d1652146274036%26quantidadePaginas%3d1%26codigoRegistro%3d774049%23774049&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-9625-5259,orcid.org/0000-0003-4290-6508,orcid.org/0000-0002-8856-194X,sem orcid,,no info,34,Itana Gimenes,Brazil,,,,,Universidade Estadual de Maringá,no info,Eliane Martins,no info,,,,,,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,University of Campinas,,,sem orcid,Ricardo Anido,Brazil,,sem orcid,sem orcid,,,,,,,,,,
35,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/777601?guid=1652146319647&returnUrl=%2fresultado%2flistar%3fguid%3d1652146319647%26quantidadePaginas%3d1%26codigoRegistro%3d777601%23777601&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-8515-0582,sem orcid,orcid.org/0000-0002-1067-6421,Universidade Estadual de Campinas,35,sem orcid,sem orcid,,,,,sem orcid,UNICAMP - University of Campinas,Edmundo Madeira,no info,,,,,,Nelson L. S. da Fonseca,no info,,,,,,Universidade Estadual de Campinas,Flávio K. Miyazawa,no info,sem orcid,Helio Waldman,no info,no info,sem orcid,sem orcid,,,,,,,,,,
36,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/479696?guid=1652146358471&returnUrl=%2fresultado%2flistar%3fguid%3d1652146358471%26quantidadePaginas%3d1%26codigoRegistro%3d479696%23479696&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9384-8347,sem orcid,orcid.org/0000-0002-5178-3661,orcid.org/0000-0002-9539-6874,,UNICAMP,36,Luiz C. V. dos Santos,Brazil,,,,,Universidade Federal de Santa Catarina,sem orcid,sem orcid,sem orcid,,,,,,Rodolfo Azevedo,Brazil,,,,,,no info,,,Universidade Estadual de Campinas,Reinaldo Bergamaschi,no info,,Sandro Rigo,Brazil,,Computer Architecture,,,,,Compilers,Code Optimization,High-Performance Computing,
37,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/477379?guid=1652146396551&returnUrl=%2fresultado%2flistar%3fguid%3d1652146396551%26quantidadePaginas%3d1%26codigoRegistro%3d477379%23477379&i=1,sem orcid,sem orcid,orcid.org/0000-0002-7538-7305,orcid.org/0000-0002-8229-3139,orcid.org/0000-0003-4462-3325,,sem orcid,37,sem orcid,sem orcid,,,,,sem orcid,Universidade Federal do Rio de Janeiro,Jayme L Szwarcfiter,no info,,,,,,sem orcid,sem orcid,,,,,,Universidade de São Paulo,,,University of Campinas,Yoshiko Wakabayashi,Brazil,,Orlando Lee,no info,,,,,,,,,,
38,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/474920?guid=1652146445375&returnUrl=%2fresultado%2flistar%3fguid%3d1652146445375%26quantidadePaginas%3d1%26codigoRegistro%3d474920%23474920&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0003-1574-0362,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-5685-8004,,Universidade Estadual de Campinas,38,sem orcid,sem orcid,,,,,sem orcid,Instituto Tecnológico de Aeronáutica,Cesar Marcondes,Brazil,,,,,,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,,University of Campinas,,,no info,Helio Pedrini,Brazil,,Siome Goldenstein,no info,,,image and video processing; machine learning; computer vision,,,,,,,
39,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/473417?guid=1652146497651&returnUrl=%2fresultado%2flistar%3fguid%3d1652146497651%26quantidadePaginas%3d1%26codigoRegistro%3d473417%23473417&i=1,sem orcid,sem orcid,sem orcid,sem orcid,orcid.org/0000-0002-7699-8677,orcid.org/0000-0003-4462-3325,sem orcid,39,sem orcid,sem orcid,,,,,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,,,,,,sem orcid,Orlando Lee,no info,Universidade de São Paulo,sem orcid,sem orcid,University of Campinas,P. Feofiloff,Brazil,,combinatorial optimization,,,,, graph theory, algorithms,,
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/477065?guid=1652146535502&returnUrl=%2fresultado%2flistar%3fguid%3d1652146535502%26quantidadePaginas%3d1%26codigoRegistro%3d477065%23477065&i=1,sem orcid,sem orcid,sem orcid,orcid.org/0000-0002-3823-8941,orcid.org/0000-0003-4290-6508,,sem orcid,40,sem orcid,sem orcid,,,,,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,,,,,,University of Campinas,,,no info,Luiz Eduardo Buzato,Brazil,,Eliane Martins,no info,,,distributed systems,distributed algorithms,fault tolerance,,,,,
41,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/476654?guid=1652146631264&returnUrl=%2fresultado%2flistar%3fguid%3d1652146631264%26quantidadePaginas%3d1%26codigoRegistro%3d476654%23476654&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-7618-1405,orcid.org/0000-0001-8309-6367,orcid.org/0000-0002-7327-848X,sem orcid,,Universidade Estadual de Campinas Instituto de Computação,41,Cristina D Aguiar,Brazil,,,,,no info,Universidade Estadual de Campinas,Ariadne Carvalho,no info,,,,,,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,,Universidade Federal de Minas Gerais,,,sem orcid,Clodoveu Davis,Brazil,,sem orcid,sem orcid,,,Spatial databases,Geographic Information Systems,Spatial Data Infrastructures,Geocoding,,,,Urban Computing
42,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/771329?guid=1652146706573&returnUrl=%2fresultado%2flistar%3fguid%3d1652146706573%26quantidadePaginas%3d1%26codigoRegistro%3d771329%23771329&i=1,orcid.org/0000-0001-5201-1244,sem orcid,sem orcid,orcid.org/0000-0002-4830-5298,orcid.org/0000-0001-8309-6367,,no info,42,sem orcid,sem orcid,,,,,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,Jacques Wainer,Brazil,,,,,,Universidade Estadual de Campinas,,,Universidade Estadual de Campinas,Maria Cecilia Calani Baranauskas,Brazil,,Ariadne Carvalho,no info,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,
