,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador1_filiação,row_idx,avaliador1_nome,avaliador1_país,orientador_nome,orientador_país,avaliador2_filiação,orientador_filiação,orientador_keyword_1,avaliador2_nome,avaliador2_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador2_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador2_keyword_7,avaliador1_keyword_7,avaliador1_keyword_8,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador4_keyword_6,avaliador3_keyword_6
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128803?guid=1652813047725&returnUrl=%2fresultado%2flistar%3fguid%3d1652813047725%26quantidadePaginas%3d1%26codigoRegistro%3d1128803%231128803&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0001-9772-263X,,,sem orcid,10,sem orcid,sem orcid,Guido Araujo,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,Ricardo Torres,Netherlands,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,,,,,,,data science,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128895?guid=1652813082295&returnUrl=%2fresultado%2flistar%3fguid%3d1652813082295%26quantidadePaginas%3d1%26codigoRegistro%3d1128895%231128895&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0001-5994-6560,,,sem orcid,11,sem orcid,sem orcid,Guido Araujo,no info,IBM,Universidade Estadual de Campinas,,Niederauer Mastelari,Brazil,,,,,,,,,,Industrial Automation,Instrumentation,Two Phase Flow Measurement,Energy Harvesting,,,,,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129459?guid=1652813135507&returnUrl=%2fresultado%2flistar%3fguid%3d1652813135507%26quantidadePaginas%3d1%26codigoRegistro%3d1129459%231129459&i=1,orcid.org/0000-0002-3159-4839,orcid.org/0000-0001-9068-938X,sem orcid,,,Universidade Estadual de Campinas,12,Sandra Avila,no info,Jorge Stolfi,no info,sem orcid,State University of Campinas,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129354?guid=1652813164600&returnUrl=%2fresultado%2flistar%3fguid%3d1652813164600%26quantidadePaginas%3d1%26codigoRegistro%3d1129354%231129354&i=1,orcid.org/0000-0003-0467-3133,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-9097-827X,,,University of Campinas,13,Helio Pedrini,Brazil,Esther Luna Colombini,no info,Centro Universitário da FEI,Universidade Estadual de Campinas,,Reinaldo A. C. Bianchi,no info,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129256?guid=1652813201962&returnUrl=%2fresultado%2flistar%3fguid%3d1652813201962%26quantidadePaginas%3d1%26codigoRegistro%3d1129256%231129256&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,sem orcid,,,University of Campinas,14,Helio Pedrini,Brazil,Alexandre Falcao,Brazil,sem orcid,Universidade Estadual de Campinas,image processing,sem orcid,sem orcid,image and video processing; machine learning; computer vision,,,,, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129257?guid=1652813235584&returnUrl=%2fresultado%2flistar%3fguid%3d1652813235584%26quantidadePaginas%3d1%26codigoRegistro%3d1129257%231129257&i=1,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-9666-3954,sem orcid,,,State University of Campinas,15,Ricardo Gudwin,Brazil,Esther Luna Colombini,no info,sem orcid,Universidade Estadual de Campinas,,sem orcid,sem orcid,Artificial Intelligence,Cognitive Systems,Intelligent Systems,Cognitive Architectures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129126?guid=1652813262726&returnUrl=%2fresultado%2flistar%3fguid%3d1652813262726%26quantidadePaginas%3d1%26codigoRegistro%3d1129126%231129126&i=1,orcid.org/0000-0002-3372-3366,orcid.org/0000-0001-8881-1657,orcid.org/0000-0002-5564-698X,,,Federal University of Technology - Paraná (UTFPR),16,Roberto Sadao Yokoyama,Brazil,Leandro Villas,Brazil,University of Campinas,Universidade Estadual de Campinas,,Lucas Wanner,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129341?guid=1652813309774&returnUrl=%2fresultado%2flistar%3fguid%3d1652813309774%26quantidadePaginas%3d1%26codigoRegistro%3d1129341%231129341&i=1,orcid.org/0000-0002-3891-1593,orcid.org/0000-0002-9393-398X,orcid.org/0000-0002-6023-5982,,,UNIFEI - Universidade Federal de Itajubá,17,Adler Souza,no info,mario cortes,no info,University of Campinas,Universidade Estadual de Campinas,,Islene Calciolari Garcia,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129339?guid=1652813335009&returnUrl=%2fresultado%2flistar%3fguid%3d1652813335009%26quantidadePaginas%3d1%26codigoRegistro%3d1129339%231129339&i=1,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-7519-0502,orcid.org/0000-0002-1534-5744,,,Universidade Federal do Rio Grande,18,Paulo Drews-Jr,Brazil,Esther Luna Colombini,no info,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,,Paula Dornhofer Paro Costa,Brazil,Robotics,Computer Vision,Underwater Robotics,Underwater Imaging,Underwater Vision,,,,,,,,,,,,,,,,Pattern Recognition,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129258?guid=1652813375456&returnUrl=%2fresultado%2flistar%3fguid%3d1652813375456%26quantidadePaginas%3d1%26codigoRegistro%3d1129258%231129258&i=2,orcid.org/0000-0003-4869-5190,orcid.org/0000-0003-1140-4513,orcid.org/0000-0002-5374-2521,,,no info,19,Marcio M. Pereira,Brazil,Guido Araujo,no info,no info,Universidade Estadual de Campinas,,Emilio Francesquini,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129334?guid=1652813409385&returnUrl=%2fresultado%2flistar%3fguid%3d1652813409385%26quantidadePaginas%3d1%26codigoRegistro%3d1129334%231129334&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0003-2059-9463,orcid.org/0000-0003-0125-630X,,,Universidade de São Paulo,20,Moacir Ponti,no info,Zanoni Dias,Brazil,University of Campinas,University of Campinas,,Helio Pedrini,Brazil,,,,,,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129423?guid=1652813463718&returnUrl=%2fresultado%2flistar%3fguid%3d1652813463718%26quantidadePaginas%3d1%26codigoRegistro%3d1129423%231129423&i=1,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-2751-0014,orcid.org/0000-0001-9068-938X,,,Centro Universitário da FEI,21,"Castro, M.C.F.",Brazil,Esther Luna Colombini,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,Sandra Avila,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1149268?guid=1652813504539&returnUrl=%2fresultado%2flistar%3fguid%3d1652813504539%26quantidadePaginas%3d1%26codigoRegistro%3d1149268%231149268&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0804-1790,orcid.org/0000-0003-0125-630X,,,Pontifícia Universidade Católica de Minas Gerais,22,Zenilton Patrocínio Jr,no info,Alexandre Falcao,Brazil,University of Campinas,Universidade Estadual de Campinas,image processing,Helio Pedrini,Brazil,,,,,, visualization, and analysis, (interactive) machine learning ,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1148929?guid=1652813533388&returnUrl=%2fresultado%2flistar%3fguid%3d1652813533388%26quantidadePaginas%3d1%26codigoRegistro%3d1148929%231148929&i=1,orcid.org/0000-0003-2608-4807,orcid.org/0000-0002-4799-8774,orcid.org/0000-0002-9545-2098,,,University of Sao Paulo,23,Rosane Minghim,Ireland,Guilherme P. Telles,Brazil,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,,Julio Cesar Dos Reis,no info,visualization,visual analytics,data analysis,applications,machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1149189?guid=1652813569215&returnUrl=%2fresultado%2flistar%3fguid%3d1652813569215%26quantidadePaginas%3d1%26codigoRegistro%3d1149189%231149189&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-2256-4379,orcid.org/0000-0001-9068-938X,,,Universidade Estadual de Campinas,24,Fabiano Reis,no info,Alexandre Falcao,Brazil,Universidade Estadual de Campinas,Universidade Estadual de Campinas,image processing,Sandra Avila,no info,,,,,, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157457?guid=1652813595388&returnUrl=%2fresultado%2flistar%3fguid%3d1652813595388%26quantidadePaginas%3d1%26codigoRegistro%3d1157457%231157457&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-9384-8347,,,Universidade Estadual de Campinas,25,Edson Borin,no info,Rodolfo Azevedo,Brazil,Universidade Federal de Santa Catarina,UNICAMP,,Luiz C. V. dos Santos,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1149064?guid=1652813668959&returnUrl=%2fresultado%2flistar%3fguid%3d1652813668959%26quantidadePaginas%3d1%26codigoRegistro%3d1149064%231149064&i=1,orcid.org/0000-0001-9068-938X,orcid.org/0000-0002-1404-398X,orcid.org/0000-0003-0125-630X,,,State University of Campinas,26,Lúcio Tunes Santos,no info,Sandra Avila,no info,University of Campinas,Universidade Estadual de Campinas,,Helio Pedrini,Brazil,,,,,,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1149432?guid=1652813709703&returnUrl=%2fresultado%2flistar%3fguid%3d1652813709703%26quantidadePaginas%3d1%26codigoRegistro%3d1149432%231149432&i=1,orcid.org/0000-0002-9545-2098,orcid.org/0000-0003-3052-3016,orcid.org/0000-0002-4531-1473,,,Universidade Federal do Paraná,27,Roberto Pereira,Brazil,Julio Cesar Dos Reis,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas (UNICAMP),,Breno Bernard Nicolau de França,Brazil,hci,values in design,socially-aware design,social web,human values in computing technology,,,,,Empirical Software Engineering,Continuous Software Engineering,Software Architecture,,,,,,,,,computers in education,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1149191?guid=1652813758300&returnUrl=%2fresultado%2flistar%3fguid%3d1652813758300%26quantidadePaginas%3d1%26codigoRegistro%3d1149191%231149191&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-0189-8540,orcid.org/0000-0002-1756-4852,,,no info,28,Alexandre Gonçalves Silva,no info,Helio Pedrini,Brazil,Universidade Estadual de Campinas,University of Campinas,image and video processing; machine learning; computer vision,André Santanchè,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1161077?guid=1652813942995&returnUrl=%2fresultado%2flistar%3fguid%3d1652813942995%26quantidadePaginas%3d1%26codigoRegistro%3d1161077%231161077&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0003-3580-5178,orcid.org/0000-0002-4531-1473,,,Unicamp,29,Marcos Augusto Francisco Borges,Brazil,Maria Cecilia Calani Baranauskas,Brazil,Universidade Estadual de Campinas,Universidade Estadual de Campinas,HCI,Breno Bernard Nicolau de França,Brazil,Computational Thinking; Creative Learning; Serious Games; Lean IT; Agile; Entrepeneurship,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,Empirical Software Engineering,Continuous Software Engineering,Software Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1149200?guid=1652814038213&returnUrl=%2fresultado%2flistar%3fguid%3d1652814038213%26quantidadePaginas%3d1%26codigoRegistro%3d1149200%231149200&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-1386-4794,,,University of Campinas,30,Helio Pedrini,Brazil,André Santanchè,no info,no info,Universidade Estadual de Campinas,,Alex Galoro,no info,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157217?guid=1652814076063&returnUrl=%2fresultado%2flistar%3fguid%3d1652814076063%26quantidadePaginas%3d1%26codigoRegistro%3d1157217%231157217&i=1,orcid.org/0000-0003-1001-082X,orcid.org/0000-0002-9529-4253,orcid.org/0000-0003-0602-6298,,,University of Campinas,31,Pedro J. de Rezende,no info,Lehilton Pedrosa,no info,Universidade Federal do ABC,University of Campinas,,Carla Negri Lintzmayer,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157209?guid=1652814105706&returnUrl=%2fresultado%2flistar%3fguid%3d1652814105706%26quantidadePaginas%3d1%26codigoRegistro%3d1157209%231157209&i=1,orcid.org/0000-0002-7603-9695,orcid.org/0000-0002-4531-1473,sem orcid,orcid.org/0000-0002-5824-7087,,Universidade Estadual de Campinas,32,Breno Bernard Nicolau de França,Brazil,Leonardo Montecchi,Norway,sem orcid,Universidade Estadual de Campinas,,sem orcid,sem orcid,Empirical Software Engineering,Continuous Software Engineering,Software Architecture,,,,,,,,,,,,Ricardo Terra,no info,Universidade Federal de Lavras,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157234?guid=1652814171472&returnUrl=%2fresultado%2flistar%3fguid%3d1652814171472%26quantidadePaginas%3d1%26codigoRegistro%3d1157234%231157234&i=2,orcid.org/0000-0002-4236-8212,sem orcid,orcid.org/0000-0003-0866-6272,orcid.org/0000-0003-1720-5080,,sem orcid,33,sem orcid,sem orcid,Anderson Rocha,Brazil,no info,Universidade Estadual de Campinas,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Célio Maschio,no info,,,,,,,,,,,,,,,Guilherme Avansi,no info,no info,,,,,,,,,,,,,,,,,,,,
34,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157604?guid=1652814209370&returnUrl=%2fresultado%2flistar%3fguid%3d1652814209370%26quantidadePaginas%3d1%26codigoRegistro%3d1157604%231157604&i=2,orcid.org/0000-0002-3372-3366,sem orcid,orcid.org/0000-0003-2982-4006,,,sem orcid,34,sem orcid,sem orcid,Leandro Villas,Brazil,IFSP,Universidade Estadual de Campinas,,Rodolfo I. Meneguette,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157336?guid=1652814258112&returnUrl=%2fresultado%2flistar%3fguid%3d1652814258112%26quantidadePaginas%3d1%26codigoRegistro%3d1157336%231157336&i=2,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-1534-5744,orcid.org/0000-0001-6172-0229,,,Universidade Estadual de Campinas (UNICAMP),35,Paula Dornhofer Paro Costa,Brazil,Anderson Rocha,Brazil,Universidade de Brasília,Universidade Estadual de Campinas,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Teofilo de Campos,Brazil,,,,,,,,,,Computer Vision,Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157713?guid=1652814287723&returnUrl=%2fresultado%2flistar%3fguid%3d1652814287723%26quantidadePaginas%3d1%26codigoRegistro%3d1157713%231157713&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-3109-4305,,,UNICAMP - University of Campinas,36,Edmundo Madeira,no info,Nelson L. S. da Fonseca,no info,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,,Christian Esteve Rothenberg,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157737?guid=1654270807041&returnUrl=%2fresultado%2flistar%3fguid%3d1654270807041%26quantidadePaginas%3d1%26codigoRegistro%3d1157737%231157737&i=2,orcid.org/0000-0002-2914-5380,orcid.org/0000-0001-8522-2056,orcid.org/0000-0003-0125-630X,,,Pontifícia Universidade Católica de Minas Gerais,37,Silvio GUIMARAES,Brazil,Alexandre Falcao,Brazil,University of Campinas,Universidade Estadual de Campinas,image processing,Helio Pedrini,Brazil,,,,,, visualization, and analysis, (interactive) machine learning ,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157515?guid=1654270841785&returnUrl=%2fresultado%2flistar%3fguid%3d1654270841785%26quantidadePaginas%3d1%26codigoRegistro%3d1157515%231157515&i=2,orcid.org/0000-0002-1067-6421,orcid.org/0000-0001-8785-5906,orcid.org/0000-0002-8687-2613,,,University of Waterloo,38,Ricardo Fukasawa,Canada,Flávio K. Miyazawa,no info,no info,no info,,Eduardo Uchoa,no info,integer programming,operations research,stochastic programming,bilevel optimization,vehicle routing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1157788?guid=1654270874584&returnUrl=%2fresultado%2flistar%3fguid%3d1654270874584%26quantidadePaginas%3d1%26codigoRegistro%3d1157788%231157788&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-6275-6503,orcid.org/0000-0001-9772-263X,,,Universidade do Vale do Rio dos Sinos,39,Jéferson Campos Nobre,Brazil,Nelson L. S. da Fonseca,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,Ricardo Torres,Netherlands,,,,,,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,,,,,,,data science,,,,,,,,,,,,,,,,,
40,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1161260?guid=1654270910321&returnUrl=%2fresultado%2flistar%3fguid%3d1654270910321%26quantidadePaginas%3d1%26codigoRegistro%3d1161260%231161260&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-0375-1657,orcid.org/0000-0003-4869-5190,,,Universidade Federal de Minas Gerais,40,Fernando Magno Quintão Pereira,Brazil,Rodolfo Azevedo,Brazil,Universidade Estadual de Campinas,UNICAMP,,Guido Araujo,no info,Compilers, Programming Languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1161412?guid=1654270946094&returnUrl=%2fresultado%2flistar%3fguid%3d1654270946094%26quantidadePaginas%3d1%26codigoRegistro%3d1161412%231161412&i=1,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-5263-1977,,,Universidade Estadual de Campinas,41,Rafael C. S. Schouery,no info,Fábio Usberti,no info,University of Campinas (UNICAMP),State University of Campinas,,Christiano Lyra Filho,Brazil,,,,,,,,,,energy systems, opimization, network flows, combinatorial optimization,,,,,,, power systems,, comp. intell.,,,,,,,,,,,,,,,
