tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,orientador_filiação,row_idx,orientador_nome,orientador_país,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_filiação,avaliador4_filiação,avaliador5_filiação,avaliador3_nome,avaliador3_país,avaliador6_nome,avaliador6_país,avaliador5_nome,avaliador5_país,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador6_filiação,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,ano,orientador_keyword_5,orientador_keyword_6,avaliador6_keyword_1,avaliador6_keyword_2,avaliador6_keyword_3,avaliador6_keyword_4,avaliador3_keyword_4,avaliador3_keyword_5,avaliador1_keyword_6,avaliador4_keyword_6,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador2_keyword_9,avaliador2_keyword_10,avaliador2_keyword_11,avaliador2_keyword_12,avaliador2_keyword_13,avaliador1_keyword_7,avaliador6_keyword_5,avaliador1_keyword_8,avaliador1_keyword_9,avaliador1_keyword_10,avaliador1_keyword_11,avaliador3_keyword_6,avaliador4_keyword_7,avaliador3_keyword_7,avaliador5_keyword_1,avaliador5_keyword_2,avaliador5_keyword_3,avaliador5_keyword_4,avaliador3_keyword_8,avaliador3_keyword_9,avaliador3_keyword_10,avaliador3_keyword_11,avaliador3_keyword_12,avaliador3_keyword_13,orientador_genero,avaliador1_genero,avaliador2_genero,avaliador3_genero,avaliador4_genero,avaliador5_genero,avaliador6_genero
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/400629?guid=1651936990184&returnUrl=%2fresultado%2flistar%3fguid%3d1651936990184%26quantidadePaginas%3d1%26codigoRegistro%3d400629%23400629&i=1,orcid.org/0000-0002-1067-6421,sem orcid,orcid.org/0000-0003-4462-3325,,,,,no info,10,Flávio K. Miyazawa,no info,University of Campinas,sem orcid,sem orcid,Orlando Lee,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/367434?guid=1651937033207&returnUrl=%2fresultado%2flistar%3fguid%3d1651937033207%26quantidadePaginas%3d1%26codigoRegistro%3d367434%23367434&i=3,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-3823-8941,sem orcid,orcid.org/0000-0001-5746-4154,orcid.org/0000-0002-8856-194X,,,UNICAMP - University of Campinas,11,Edmundo Madeira,no info,sem orcid,Luiz Eduardo Buzato,Brazil,sem orcid,sem orcid,,,,,,,University of Campinas,University of Campinas,,Alfredo Goldman,no info,,,,,no info,Ricardo Anido,Brazil,,,,distributed systems,distributed algorithms,fault tolerance,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,sem orcid,Masculino,Masculino,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/375175?guid=1651937074158&returnUrl=%2fresultado%2flistar%3fguid%3d1651937074158%26quantidadePaginas%3d1%26codigoRegistro%3d375175%23375175&i=1,sem orcid,orcid.org/0000-0001-9892-740X,orcid.org/0000-0002-8856-194X,,,,,sem orcid,12,sem orcid,sem orcid,University of Campinas,Eleri Cardozo,Brazil,Ricardo Anido,Brazil,,,,,,,University of Campinas,,,,,,,,,,,,,,,Unicamp, Poli/USP, ITA,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sem orcid,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398427?guid=1651937109565&returnUrl=%2fresultado%2flistar%3fguid%3d1651937109565%26quantidadePaginas%3d1%26codigoRegistro%3d398427%23398427&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-1180-2637,,,,,Universidade Estadual de Campinas,13,Nelson L. S. da Fonseca,no info,UNICAMP - University of Campinas,sem orcid,sem orcid,Edmundo Madeira,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/372963?guid=1651937152571&returnUrl=%2fresultado%2flistar%3fguid%3d1651937152571%26quantidadePaginas%3d1%26codigoRegistro%3d372963%23372963&i=1,orcid.org/0000-0002-6540-8686,orcid.org/0000-0003-2592-3664,sem orcid,,,,,University of Campinas,14,Paulo de Geus,Brazil,sem orcid,Carlos Maziero,Brazil,sem orcid,sem orcid,,,Computer Security,,,,Universidade Tecnológica Federal do Paraná,,,,,,,,,,,,,,,Operating Systems,Computer Security,Distributed Systems,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,sem orcid,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/380579?guid=1651937719340&returnUrl=%2fresultado%2flistar%3fguid%3d1651937719340%26quantidadePaginas%3d1%26codigoRegistro%3d380579%23380579&i=2,orcid.org/0000-0002-4830-5298,,,,,,,Universidade Estadual de Campinas,15,Maria Cecilia Calani Baranauskas,Brazil,,,,,,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,não anotado,não anotado,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/465184?guid=1651937742954&returnUrl=%2fresultado%2flistar%3fguid%3d1651937742954%26quantidadePaginas%3d1%26codigoRegistro%3d465184%23465184&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0003-2046-602X,,,,,UNICAMP - University of Campinas,16,Edmundo Madeira,no info,Universidade Estadual de Campinas,sem orcid,sem orcid,Nelson L. S. da Fonseca,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/377487?guid=1651937789246&returnUrl=%2fresultado%2flistar%3fguid%3d1651937789246%26quantidadePaginas%3d1%26codigoRegistro%3d377487%23377487&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0001-9625-5259,orcid.org/0000-0003-4290-6508,,,,,no info,17,Cecilia Mary Fischer Rubira Rubira,no info,no info,Itana Gimenes,Brazil,Eliane Martins,no info,,,,,,,Universidade Estadual de Maringá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,Feminino,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/375289?guid=1651937818994&returnUrl=%2fresultado%2flistar%3fguid%3d1651937818994%26quantidadePaginas%3d1%26codigoRegistro%3d375289%23375289&i=1,sem orcid,sem orcid,orcid.org/0000-0003-4462-3325,,,,,sem orcid,18,sem orcid,sem orcid,University of Campinas,sem orcid,sem orcid,Orlando Lee,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sem orcid,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/377477?guid=1651937856140&returnUrl=%2fresultado%2flistar%3fguid%3d1651937856140%26quantidadePaginas%3d1%26codigoRegistro%3d377477%23377477&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-7002-875X,,,,,Universidade Estadual de Campinas,19,Guido Araujo,no info,University of Campinas,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398426?guid=1651937916219&returnUrl=%2fresultado%2flistar%3fguid%3d1651937916219%26quantidadePaginas%3d1%26codigoRegistro%3d398426%23398426&i=4,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-3139-6266,orcid.org/0000-0002-8856-194X,,,,,no info,20,Eliane Martins,no info,University of Campinas,Silvia Vergilio,no info,Ricardo Anido,Brazil,,,,,,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,Feminino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396976?guid=1651937947579&returnUrl=%2fresultado%2flistar%3fguid%3d1651937947579%26quantidadePaginas%3d1%26codigoRegistro%3d396976%23396976&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-5378-4732,orcid.org/0000-0003-2046-602X,,,,,UNICAMP - University of Campinas,21,Edmundo Madeira,no info,Universidade Estadual de Campinas,Djamel F Hadj Sadok,Brazil,Nelson L. S. da Fonseca,no info,,,,,,,Universidade Federal de Pernambuco,,,,,,,,,,,,,,,Computer Networks,Communication Systems,Protocols,Security,Cloud Computing,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/376808?guid=1651937999151&returnUrl=%2fresultado%2flistar%3fguid%3d1651937999151%26quantidadePaginas%3d1%26codigoRegistro%3d376808%23376808&i=8,orcid.org/0000-0002-1067-6421,orcid.org/0000-0003-4804-5788,orcid.org/0000-0002-5945-0845,,,,,no info,22,Flávio K. Miyazawa,no info,Universidade Estadual de Campinas,Carlos Ferreira,no info,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,,,,,University of São Paulo,,,,,,,,,,,,,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444613?guid=1651938027757&returnUrl=%2fresultado%2flistar%3fguid%3d1651938027757%26quantidadePaginas%3d1%26codigoRegistro%3d444613%23444613&i=2,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-4961-3428,orcid.org/0000-0002-1180-2637,,,,Universidade Estadual de Campinas,23,Nelson L. S. da Fonseca,no info,University of Campinas School of Electrical and Computer Engineering,sem orcid,sem orcid,José C. Geromel,no info,,,,,,,sem orcid,,,Edmundo Madeira,no info,,,,,UNICAMP - University of Campinas,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,Masculino,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/393814?guid=1651938057235&returnUrl=%2fresultado%2flistar%3fguid%3d1651938057235%26quantidadePaginas%3d1%26codigoRegistro%3d393814%23393814&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0003-2608-4807,orcid.org/0000-0001-7878-4990,,,,,University of Campinas,24,Zanoni Dias,Brazil,State University of Campinas,Guilherme P. Telles,Brazil,Joao Meidanis,no info,,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396633?guid=1651938122685&returnUrl=%2fresultado%2flistar%3fguid%3d1651938122685%26quantidadePaginas%3d1%26codigoRegistro%3d396633%23396633&i=8,orcid.org/0000-0003-3333-6822,orcid.org/0000-0003-2608-4807,orcid.org/0000-0001-7878-4990,,,,,University of Campinas,25,Zanoni Dias,Brazil,State University of Campinas,Guilherme P. Telles,Brazil,Joao Meidanis,no info,,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/416896?guid=1651938150403&returnUrl=%2fresultado%2flistar%3fguid%3d1651938150403%26quantidadePaginas%3d1%26codigoRegistro%3d416896%23416896&i=1,orcid.org/0000-0002-8856-194X,sem orcid,orcid.org/0000-0003-4290-6508,,,,,University of Campinas,26,Ricardo Anido,Brazil,no info,sem orcid,sem orcid,Eliane Martins,no info,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/393832?guid=1651938179019&returnUrl=%2fresultado%2flistar%3fguid%3d1651938179019%26quantidadePaginas%3d1%26codigoRegistro%3d393832%23393832&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-4344-1263,orcid.org/0000-0001-9772-263X,,,,,Universidade Estadual de Campinas Instituto de Computação,27,Claudia Medeiros,Brazil,Universidade Estadual de Campinas,Rubens Augusto Camargo Lamparelli,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,Scientific data management, Data interoperability, Open Science,,Universidade Estadual de Campinas,,,,,,,,,,,,,machine learning,information visualization,,,,,,data science,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/430403?guid=1651938214348&returnUrl=%2fresultado%2flistar%3fguid%3d1651938214348%26quantidadePaginas%3d1%26codigoRegistro%3d430403%23430403&i=2,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-1180-2637,,,,,University of Campinas,28,Islene Calciolari Garcia,no info,UNICAMP - University of Campinas,André Santanchè,no info,Edmundo Madeira,no info,,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/397009?guid=1651938297064&returnUrl=%2fresultado%2flistar%3fguid%3d1651938297064%26quantidadePaginas%3d1%26codigoRegistro%3d397009%23397009&i=4,sem orcid,orcid.org/0000-0002-1180-2637,sem orcid,,,,,sem orcid,29,sem orcid,sem orcid,sem orcid,Edmundo Madeira,no info,sem orcid,sem orcid,,,,,,,UNICAMP - University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sem orcid,Masculino,sem orcid,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/397013?guid=1651938319668&returnUrl=%2fresultado%2flistar%3fguid%3d1651938319668%26quantidadePaginas%3d1%26codigoRegistro%3d397013%23397013&i=1,orcid.org/0000-0002-5945-0845,sem orcid,orcid.org/0000-0003-4462-3325,,,,,Universidade Estadual de Campinas,30,Cid de Souza,Brazil,University of Campinas,sem orcid,sem orcid,Orlando Lee,no info,,,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/415450?guid=1651938369433&returnUrl=%2fresultado%2flistar%3fguid%3d1651938369433%26quantidadePaginas%3d1%26codigoRegistro%3d415450%23415450&i=2,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-5193-8643,orcid.org/0000-0002-6023-5982,,,,,Universidade Estadual de Campinas,31,Nelson L. S. da Fonseca,no info,University of Campinas,Omar Branquinho,no info,Islene Calciolari Garcia,no info,,,,,,,Pontifícia Universidade Católica de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/408757?guid=1651938415629&returnUrl=%2fresultado%2flistar%3fguid%3d1651938415629%26quantidadePaginas%3d1%26codigoRegistro%3d408757%23408757&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0002-4830-5298,,,,,no info,32,Eliane Martins,no info,Universidade Estadual de Campinas,sem orcid,sem orcid,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,,,,,sem orcid,,,,,,,,,,,,,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feminino,sem orcid,Feminino,não anotado,não anotado,não anotado,não anotado
